Tensao [V];Corrente [A]
-10;-2,563336E-10
-9,95;-2,49455E-10
-9,9;-2,46977E-10
-9,85;-2,428105E-10
-9,8;-2,399566E-10
-9,75;-2,380879E-10
-9,7;-2,374759E-10
-9,65;-2,340387E-10
-9,6;-2,304728E-10
-9,55;-2,284694E-10
-9,5;-2,282161E-10
-9,45;-2,266673E-10
-9,4;-2,227134E-10
-9,35;-2,215638E-10
-9,3;-2,225021E-10
-9,25;-2,213476E-10
-9,2;-2,168708E-10
-9,15;-2,157227E-10
-9,1;-2,140479E-10
-9,05;-2,125623E-10
-9;-2,08911E-10
-8,95;-2,083055E-10
-8,9;-2,083549E-10
-8,85;-2,076974E-10
-8,8;-2,052562E-10
-8,75;-2,00012E-10
-8,7;-1,979431E-10
-8,65;-1,977922E-10
-8,6;-1,963806E-10
-8,55;-1,946653E-10
-8,5;-1,921919E-10
-8,45;-1,920276E-10
-8,4;-1,899017E-10
-8,35;-1,857116E-10
-8,3;-1,843534E-10
-8,25;-1,843211E-10
-8,2;-1,824041E-10
-8,15;-1,796072E-10
-8,1;-1,778435E-10
-8,05;-1,788074E-10
-8;-1,769695E-10
-7,95;-1,730799E-10
-7,9;-1,71986E-10
-7,85;-1,719884E-10
-7,8;-1,70666E-10
-7,75;-1,665563E-10
-7,7;-1,650225E-10
-7,65;-1,639546E-10
-7,6;-1,642005E-10
-7,55;-1,609857E-10
-7,5;-1,583569E-10
-7,45;-1,572469E-10
-7,4;-1,582926E-10
-7,35;-1,553904E-10
-7,3;-1,517949E-10
-7,25;-1,504243E-10
-7,2;-1,504885E-10
-7,15;-1,484875E-10
-7,1;-1,437412E-10
-7,05;-1,421678E-10
-7;-1,42148E-10
-6,95;-1,413472E-10
-6,9;-1,384055E-10
-6,85;-1,365218E-10
-6,8;-1,368173E-10
-6,75;-1,364971E-10
-6,7;-1,325396E-10
-6,65;-1,299056E-10
-6,6;-1,294336E-10
-6,55;-1,29316E-10
-6,5;-1,275004E-10
-6,45;-1,238308E-10
-6,4;-1,231015E-10
-6,35;-1,22999E-10
