Tensao [V];Corrente [A]
-10;-2,306696E-10
-9,95;-2,163163E-10
-9,9;-2,088976E-10
-9,85;-2,01218E-10
-9,8;-1,995039E-10
-9,75;-1,949669E-10
-9,7;-1,942948E-10
-9,65;-1,904228E-10
-9,6;-1,888421E-10
-9,55;-1,871553E-10
-9,5;-1,851456E-10
-9,45;-1,823094E-10
-9,4;-1,800205E-10
-9,35;-1,773004E-10
-9,3;-1,763858E-10
-9,25;-1,73431E-10
-9,2;-1,72619E-10
-9,15;-1,718441E-10
-9,1;-1,679723E-10
-9,05;-1,677683E-10
-9;-1,649617E-10
-8,95;-1,614643E-10
-8,9;-1,615853E-10
-8,85;-1,604767E-10
-8,8;-1,580113E-10
-8,75;-1,574477E-10
-8,7;-1,538971E-10
-8,65;-1,532669E-10
-8,6;-1,51146E-10
-8,55;-1,501573E-10
-8,5;-1,489771E-10
-8,45;-1,471926E-10
-8,4;-1,463993E-10
-8,35;-1,45162E-10
-8,3;-1,429301E-10
-8,25;-1,415842E-10
-8,2;-1,376197E-10
-8,15;-1,377778E-10
-8,1;-1,365235E-10
-8,05;-1,346561E-10
-8;-1,336439E-10
-7,95;-1,326701E-10
-7,9;-1,306939E-10
-7,85;-1,288823E-10
-7,8;-1,279194E-10
-7,75;-1,272336E-10
-7,7;-1,235075E-10
-7,65;-1,225262E-10
-7,6;-1,212953E-10
-7,55;-1,214004E-10
-7,5;-1,1892E-10
-7,45;-1,168228E-10
-7,4;-1,166188E-10
-7,35;-1,154101E-10
-7,3;-1,134192E-10
-7,25;-1,128879E-10
-7,2;-1,128285E-10
-7,15;-1,112218E-10
-7,1;-1,11191E-10
-7,05;-1,095721E-10
-7;-1,083658E-10
-6,95;-1,082879E-10
-6,9;-1,031097E-10
-6,85;-1,047707E-10
-6,8;-1,033705E-10
-6,75;-1,012732E-10
-6,7;-1,007145E-10
-6,65;-9,817126E-11
-6,6;-9,711835E-11
-6,55;-9,604808E-11
-6,5;-9,42289E-11
-6,45;-9,078337E-11
-6,4;-8,887517E-11
-6,35;-8,616618E-11
-6,3;-8,825102E-11
-6,25;-8,387245E-11
-6,2;-8,506754E-11
-6,15;-8,109675E-11
-6,1;-8,197168E-11
-6,05;-8,000053E-11
-6;-7,580724E-11
-5,95;-8,232883E-11
-5,9;-7,877578E-11
-5,85;-7,642027E-11
-5,8;-7,609281E-11
-5,75;-7,397573E-11
-5,7;-7,463323E-11
-5,65;-7,002468E-11
-5,6;-7,039425E-11
-5,55;-7,221469E-11
-5,5;-7,010503E-11
-5,45;-6,846507E-11
-5,4;-6,758393E-11
-5,35;-6,721062E-11
-5,3;-6,523206E-11
-5,25;-6,171483E-11
-5,2;-6,201396E-11
-5,15;-6,179888E-11
-5,1;-5,973497E-11
-5,05;-5,906513E-11
-5;-5,859552E-11
-4,95;-5,72225E-11
-4,9;-5,35137E-11
-4,85;-5,137692E-11
-4,8;-5,142015E-11
-4,75;-4,843311E-11
-4,7;-4,840346E-11
-4,65;-4,950334E-11
-4,6;-4,820324E-11
-4,55;-4,63618E-11
-4,5;-4,336117E-11
-4,45;-3,905425E-11
-4,4;-3,831147E-11
-4,35;-3,732898E-11
-4,3;-3,772568E-11
-4,25;-3,621176E-11
-4,2;-3,491534E-11
-4,15;-3,558148E-11
-4,1;-3,193449E-11
-4,05;-3,074434E-11
-4;-2,998926E-11
-3,95;-2,959256E-11
-3,9;-2,81948E-11
-3,85;-2,51101E-11
-3,8;-2,574533E-11
-3,75;-2,676614E-11
-3,7;-2,365179E-11
-3,65;-2,212676E-11
-3,6;-1,644059E-11
-3,55;-1,92435E-11
-3,5;-1,841301E-11
-3,45;-1,643812E-11
-3,4;-1,618478E-11
-3,35;-1,615264E-11
-3,3;-1,482657E-11
-3,25;-1,264652E-11
-3,2;-1,005E-11
-3,15;-1,161212E-11
-3,1;-7,930514E-12
-3,05;-6,069316E-12
-3;-5,754177E-12
-2,95;-4,945926E-12
