Tensao [V];Corrente [A]
-10;-2,192657E-10
-9,95;-2,110647E-10
-9,9;-2,060694E-10
-9,85;-2,035186E-10
-9,8;-2,013374E-10
-9,75;-1,968907E-10
-9,7;-1,95561E-10
-9,65;-1,933771E-10
-9,6;-1,898241E-10
-9,55;-1,875107E-10
-9,5;-1,840861E-10
-9,45;-1,820321E-10
-9,4;-1,790191E-10
-9,35;-1,763003E-10
-9,3;-1,752446E-10
-9,25;-1,73076E-10
-9,2;-1,707833E-10
-9,15;-1,697972E-10
-9,1;-1,672514E-10
-9,05;-1,653294E-10
-9;-1,619804E-10
-8,95;-1,60343E-10
-8,9;-1,601686E-10
-8,85;-1,575315E-10
-8,8;-1,570531E-10
-8,75;-1,54962E-10
-8,7;-1,52326E-10
-8,65;-1,513188E-10
-8,6;-1,493748E-10
-8,55;-1,471688E-10
-8,5;-1,455659E-10
-8,45;-1,44828E-10
-8,4;-1,443769E-10
-8,35;-1,421128E-10
-8,3;-1,400862E-10
-8,25;-1,381237E-10
-8,2;-1,368976E-10
-8,15;-1,356926E-10
-8,1;-1,316551E-10
-8,05;-1,316787E-10
-8;-1,31319E-10
-7,95;-1,299287E-10
-7,9;-1,280774E-10
-7,85;-1,273272E-10
-7,8;-1,256465E-10
-7,75;-1,242202E-10
-7,7;-1,217448E-10
-7,65;-1,205065E-10
-7,6;-1,191088E-10
-7,55;-1,167667E-10
-7,5;-1,160291E-10
-7,45;-1,151232E-10
-7,4;-1,126564E-10
-7,35;-1,120892E-10
-7,3;-1,107927E-10
-7,25;-1,098386E-10
-7,2;-1,083346E-10
-7,15;-1,06398E-10
-7,1;-1,058802E-10
-7,05;-1,028302E-10
-7;-1,023951E-10
-6,95;-1,001101E-10
-6,9;-9,830328E-11
-6,85;-9,750614E-11
-6,8;-9,538293E-11
-6,75;-9,451533E-11
-6,7;-9,325857E-11
-6,65;-9,239468E-11
-6,6;-9,138254E-11
-6,55;-8,963502E-11
-6,5;-8,725724E-11
-6,45;-8,51044E-11
-6,4;-8,444072E-11
-6,35;-8,319373E-11
-6,3;-8,156001E-11
-6,25;-8,029694E-11
-6,2;-7,970867E-11
-6,15;-7,748045E-11
-6,1;-7,690699E-11
-6,05;-7,467624E-11
-6;-7,353067E-11
-5,95;-7,243321E-11
-5,9;-7,150383E-11
-5,85;-7,039776E-11
-5,8;-7,007277E-11
-5,75;-6,909018E-11
-5,7;-6,89802E-11
-5,65;-6,617241E-11
-5,6;-6,544943E-11
-5,55;-6,320385E-11
-5,5;-6,269227E-11
