Tensao [V];Corrente [A]
-10;-2,426745E-10
-9,95;-2,269901E-10
-9,9;-2,233284E-10
-9,85;-2,180572E-10
-9,8;-2,13078E-10
-9,75;-2,111328E-10
-9,7;-2,072793E-10
-9,65;-2,04778E-10
-9,6;-2,032888E-10
-9,55;-2,000236E-10
-9,5;-2,003535E-10
-9,45;-1,97364E-10
-9,4;-1,940408E-10
-9,35;-1,919076E-10
-9,3;-1,891751E-10
-9,25;-1,841932E-10
-9,2;-1,792919E-10
-9,15;-1,778275E-10
-9,1;-1,743978E-10
-9,05;-1,751085E-10
-9;-1,765657E-10
-8,95;-1,730669E-10
-8,9;-1,710994E-10
-8,85;-1,711932E-10
-8,8;-1,685312E-10
-8,75;-1,621714E-10
-8,7;-1,557981E-10
-8,65;-1,579683E-10
-8,6;-1,597813E-10
-8,55;-1,614436E-10
-8,5;-1,643344E-10
-8,45;-1,654143E-10
-8,4;-1,592783E-10
-8,35;-1,480048E-10
-8,3;-1,511229E-10
-8,25;-1,591449E-10
-8,2;-1,567682E-10
-8,15;-1,538702E-10
-8,1;-1,535822E-10
-8,05;-1,509781E-10
-8;-1,467973E-10
-7,95;-1,468381E-10
-7,9;-1,434023E-10
-7,85;-1,387766E-10
-7,8;-1,344783E-10
-7,75;-1,37794E-10
-7,7;-1,418377E-10
-7,65;-1,39476E-10
-7,6;-1,360997E-10
-7,55;-1,352494E-10
-7,5;-1,318878E-10
-7,45;-1,30039E-10
-7,4;-1,235211E-10
-7,35;-1,272323E-10
-7,3;-1,255306E-10
-7,25;-1,215449E-10
-7,2;-1,204351E-10
-7,15;-1,221418E-10
-7,1;-1,185899E-10
-7,05;-1,159154E-10
-7;-1,093518E-10
-6,95;-1,119928E-10
-6,9;-1,116283E-10
-6,85;-1,109078E-10
-6,8;-1,084311E-10
-6,75;-1,067157E-10
-6,7;-1,047618E-10
-6,65;-1,027808E-10
-6,6;-1,033591E-10
-6,55;-1,036718E-10
-6,5;-1,027115E-10
-6,45;-1,00985E-10
-6,4;-9,822903E-11
-6,35;-9,69066E-11
-6,3;-9,576227E-11
-6,25;-9,346966E-11
-6,2;-9,047155E-11
-6,15;-8,979056E-11
-6,1;-8,379293E-11
-6,05;-8,509796E-11
-6;-8,698269E-11
-5,95;-8,541685E-11
-5,9;-8,50918E-11
-5,85;-8,243836E-11
-5,8;-8,165984E-11
-5,75;-8,194279E-11
-5,7;-7,994939E-11
-5,65;-7,981964E-11
-5,6;-7,933515E-11
-5,55;-7,648649E-11
-5,5;-7,523081E-11
-5,45;-7,532842E-11
-5,4;-7,352165E-11
-5,35;-7,313607E-11
-5,3;-7,144293E-11
-5,25;-6,954466E-11
-5,2;-6,722618E-11
-5,15;-6,761915E-11
-5,1;-6,769581E-11
-5,05;-6,477047E-11
-5;-6,467162E-11
-4,95;-6,065258E-11
-4,9;-6,120502E-11
-4,85;-5,890135E-11
-4,8;-5,804366E-11
-4,75;-5,742697E-11
-4,7;-5,703885E-11
-4,65;-5,431874E-11
-4,6;-5,290126E-11
-4,55;-5,191008E-11
-4,5;-5,216961E-11
-4,45;-4,884015E-11
-4,4;-4,860167E-11
-4,35;-4,817774E-11
-4,3;-4,608422E-11
-4,25;-4,584939E-11
-4,2;-4,383121E-11
-4,15;-4,123714E-11
-4,1;-4,105177E-11
-4,05;-3,892236E-11
-4;-3,804492E-11
-3,95;-3,747393E-11
-3,9;-3,509119E-11
-3,85;-3,467967E-11
-3,8;-3,382564E-11
-3,75;-3,124272E-11
-3,7;-2,922577E-11
-3,65;-2,783049E-11
-3,6;-2,777983E-11
-3,55;-2,463081E-11
-3,5;-2,610027E-11
-3,45;-2,491261E-11
-3,4;-2,291544E-11
-3,35;-2,146701E-11
-3,3;-2,033867E-11
-3,25;-1,857386E-11
-3,2;-1,777054E-11
-3,15;-1,618988E-11
-3,1;-1,517894E-11
-3,05;-1,487616E-11
-3;-1,237848E-11
-2,95;-1,034053E-11
-2,9;-8,298883E-12
-2,85;-8,343365E-12
-2,8;-4,865645E-12
-2,75;-5,668954E-12
-2,7;-5,487286E-12
-2,65;-2,832646E-12
-2,6;-8,602082E-13
-2,55;1,989276E-13
-2,5;3,443058E-12
-2,45;3,98684E-12
-2,4;7,156816E-12
-2,35;9,0551E-12
-2,3;9,775607E-12
-2,25;1,229305E-11
-2,2;1,316557E-11
-2,15;1,449288E-11
-2,1;1,768757E-11
-2,05;1,720312E-11
