Tensao [V];Corrente [A]
-10;-3,102221E-10
-9,95;-2,931742E-10
-9,9;-2,821813E-10
-9,85;-2,761339E-10
-9,8;-2,721295E-10
-9,75;-2,659686E-10
-9,7;-2,559492E-10
-9,65;-2,563189E-10
-9,6;-2,554452E-10
-9,55;-2,517276E-10
-9,5;-2,471472E-10
-9,45;-2,458942E-10
-9,4;-2,434927E-10
-9,35;-2,40958E-10
-9,3;-2,344288E-10
-9,25;-2,332399E-10
-9,2;-2,314725E-10
-9,15;-2,284952E-10
-9,1;-2,266995E-10
-9,05;-2,237914E-10
-9;-2,228692E-10
-8,95;-2,190803E-10
-8,9;-2,144964E-10
-8,85;-2,133347E-10
-8,8;-2,142255E-10
-8,75;-2,120418E-10
-8,7;-2,094514E-10
-8,65;-2,075321E-10
-8,6;-2,064753E-10
-8,55;-2,04718E-10
-8,5;-2,019755E-10
-8,45;-1,994309E-10
-8,4;-1,964239E-10
-8,35;-1,978216E-10
-8,3;-1,948555E-10
-8,25;-1,92375E-10
-8,2;-1,920451E-10
-8,15;-1,893076E-10
-8,1;-1,862412E-10
-8,05;-1,823682E-10
-8;-1,807639E-10
-7,95;-1,820121E-10
-7,9;-1,813953E-10
-7,85;-1,749405E-10
-7,8;-1,748984E-10
-7,75;-1,747896E-10
-7,7;-1,711437E-10
-7,65;-1,676178E-10
-7,6;-1,67127E-10
-7,55;-1,661803E-10
-7,5;-1,655649E-10
-7,45;-1,643252E-10
-7,4;-1,631896E-10
-7,35;-1,618052E-10
-7,3;-1,62459E-10
-7,25;-1,571967E-10
-7,2;-1,568383E-10
-7,15;-1,557705E-10
-7,1;-1,54668E-10
-7,05;-1,531765E-10
-7;-1,499346E-10
-6,95;-1,507416E-10
-6,9;-1,495564E-10
-6,85;-1,463494E-10
-6,8;-1,445436E-10
-6,75;-1,432459E-10
-6,7;-1,423758E-10
-6,65;-1,426638E-10
-6,6;-1,389154E-10
-6,55;-1,395308E-10
-6,5;-1,394148E-10
-6,45;-1,361791E-10
-6,4;-1,351273E-10
-6,35;-1,316089E-10
-6,3;-1,331451E-10
-6,25;-1,28744E-10
-6,2;-1,276985E-10
-6,15;-1,282002E-10
-6,1;-1,27733E-10
-6,05;-1,265985E-10
-6;-1,23604E-10
-5,95;-1,219824E-10
-5,9;-1,201804E-10
-5,85;-1,205785E-10
-5,8;-1,180634E-10
-5,75;-1,1727E-10
-5,7;-1,177149E-10
-5,65;-1,147686E-10
-5,6;-1,134065E-10
-5,55;-1,098436E-10
-5,5;-1,111016E-10
-5,45;-1,067662E-10
-5,4;-1,062422E-10
-5,35;-1,02993E-10
-5,3;-1,043327E-10
-5,25;-1,038383E-10
-5,2;-1,006102E-10
-5,15;-9,865374E-11
-5,1;-9,331849E-11
-5,05;-9,736849E-11
-5;-9,43034E-11
-4,95;-9,07095E-11
-4,9;-9,039799E-11
-4,85;-9,103326E-11
-4,8;-9,224568E-11
-4,75;-8,951188E-11
-4,7;-8,804246E-11
-4,65;-8,794351E-11
-4,6;-8,63196E-11
-4,55;-8,281092E-11
-4,5;-8,210513E-11
-4,45;-8,414319E-11
-4,4;-7,930714E-11
-4,35;-7,73705E-11
-4,3;-7,906364E-11
-4,25;-7,291262E-11
-4,2;-7,378022E-11
-4,15;-7,053234E-11
-4,1;-6,943978E-11
-4,05;-6,887992E-11
-4;-6,547378E-11
-3,95;-6,660962E-11
-3,9;-6,166973E-11
-3,85;-6,370029E-11
-3,8;-6,445053E-11
-3,75;-5,878153E-11
-3,7;-5,926717E-11
-3,65;-5,863934E-11
-3,6;-5,785453E-11
-3,55;-5,538774E-11
-3,5;-5,486987E-11
-3,45;-5,349676E-11
-3,4;-4,965935E-11
-3,35;-4,970879E-11
-3,3;-4,506061E-11
-3,25;-4,313507E-11
-3,2;-4,35973E-11
-3,15;-4,151607E-11
-3,1;-4,005527E-11
-3,05;-3,839174E-11
-3;-3,456913E-11
-2,95;-3,1865E-11
-2,9;-2,980971E-11
-2,85;-2,95267E-11
-2,8;-2,739974E-11
-2,75;-2,094714E-11
-2,7;-2,066536E-11
-2,65;-1,956543E-11
-2,6;-1,805639E-11
-2,55;-1,441795E-11
-2,5;-9,101144E-12
-2,45;-9,773465E-12
-2,4;-7,013727E-12
-2,35;-9,961737E-13
-2,3;-5,981758E-12
-2,25;-9,084258E-13
-2,2;5,734046E-13
-2,15;7,884905E-12
-2,1;8,475653E-12
-2,05;1,20968E-11
-2;1,607635E-11
-1,95;1,894238E-11
-1,9;2,391558E-11
-1,85;2,62823E-11
-1,8;3,09082E-11
-1,75;3,59148E-11
-1,7;4,151087E-11
-1,65;4,849237E-11
-1,6;5,731913E-11
-1,55;6,745709E-11
-1,5;8,342963E-11
-1,45;1,009631E-10
-1,4;1,223922E-10
-1,35;1,511116E-10
-1,3;1,923113E-10
-1,25;2,395539E-10
-1,2;2,950341E-10
-1,15;3,608474E-10
-1,1;4,414866E-10
-1,05;5,291579E-10
-1;6,346556E-10
-0,95;7,464119E-10
-0,9;8,777973E-10
-0,85;1,01055E-09
-0,8;1,16982E-09
-0,75;1,327896E-09
-0,7;1,515872E-09
-0,65;1,710402E-09
-0,6;1,936594E-09
-0,55;2,207412E-09
-0,5;2,442465E-09
-0,45;2,713556E-09
-0,4;3,028463E-09
-0,35;3,341315E-09
-0,3;3,686729E-09
-0,25;4,099314E-09
-0,2;4,536186E-09
-0,15;4,977294E-09
-0,1;5,454085E-09
