Tensao [V];Corrente [A]
-10;-1,816483E-09
-9,95;-1,804494E-09
-9,9;-1,792541E-09
-9,85;-1,780276E-09
-9,8;-1,768279E-09
-9,75;-1,757885E-09
-9,7;-1,746502E-09
-9,65;-1,735207E-09
-9,6;-1,723993E-09
-9,55;-1,713867E-09
-9,5;-1,70323E-09
-9,45;-1,691308E-09
-9,4;-1,680091E-09
-9,35;-1,669064E-09
-9,3;-1,658219E-09
-9,25;-1,647459E-09
-9,2;-1,636613E-09
-9,15;-1,626416E-09
-9,1;-1,615716E-09
-9,05;-1,604306E-09
-9;-1,593058E-09
-8,95;-1,583871E-09
-8,9;-1,573515E-09
-8,85;-1,562271E-09
-8,8;-1,551792E-09
-8,75;-1,542138E-09
-8,7;-1,532107E-09
-8,65;-1,520929E-09
-8,6;-1,510433E-09
-8,55;-1,500412E-09
-8,5;-1,490436E-09
-8,45;-1,47909E-09
-8,4;-1,468293E-09
-8,35;-1,458374E-09
-8,3;-1,44773E-09
-8,25;-1,436961E-09
-8,2;-1,426334E-09
-8,15;-1,416825E-09
-8,1;-1,407136E-09
-8,05;-1,397233E-09
-8;-1,386376E-09
-7,95;-1,375807E-09
-7,9;-1,365731E-09
-7,85;-1,355473E-09
-7,8;-1,344713E-09
-7,75;-1,334771E-09
-7,7;-1,325213E-09
-7,65;-1,314943E-09
-7,6;-1,304301E-09
-7,55;-1,294361E-09
-7,5;-1,285056E-09
-7,45;-1,27481E-09
-7,4;-1,26429E-09
-7,35;-1,254167E-09
-7,3;-1,244505E-09
-7,25;-1,234757E-09
-7,2;-1,22429E-09
-7,15;-1,213755E-09
-7,1;-1,203846E-09
-7,05;-1,193507E-09
-7;-1,183063E-09
-6,95;-1,174151E-09
-6,9;-1,164579E-09
-6,85;-1,153518E-09
-6,8;-1,142905E-09
-6,75;-1,132603E-09
-6,7;-1,123337E-09
-6,65;-1,114248E-09
-6,6;-1,103848E-09
-6,55;-1,093715E-09
-6,5;-1,083477E-09
-6,45;-1,07474E-09
-6,4;-1,064976E-09
-6,35;-1,054703E-09
-6,3;-1,045014E-09
-6,25;-1,034826E-09
-6,2;-1,024661E-09
-6,15;-1,014853E-09
-6,1;-1,005302E-09
-6,05;-9,94928E-10
-6;-9,848359E-10
-5,95;-9,747986E-10
-5,9;-9,656146E-10
-5,85;-9,56022E-10
-5,8;-9,457518E-10
-5,75;-9,358833E-10
-5,7;-9,262966E-10
-5,65;-9,16369E-10
-5,6;-9,063289E-10
-5,55;-8,963436E-10
-5,5;-8,866112E-10
-5,45;-8,776543E-10
-5,4;-8,673943E-10
-5,35;-8,574347E-10
-5,3;-8,474558E-10
-5,25;-8,37983E-10
-5,2;-8,284245E-10
-5,15;-8,177592E-10
-5,1;-8,076839E-10
-5,05;-7,985064E-10
-5;-7,886468E-10
-4,95;-7,78924E-10
-4,9;-7,695188E-10
-4,85;-7,599319E-10
-4,8;-7,492938E-10
-4,75;-7,397747E-10
-4,7;-7,305097E-10
-4,65;-7,203367E-10
-4,6;-7,114498E-10
-4,55;-7,011163E-10
-4,5;-6,919165E-10
-4,45;-6,826302E-10
-4,4;-6,727122E-10
-4,35;-6,621874E-10
-4,3;-6,52655E-10
-4,25;-6,439584E-10
-4,2;-6,347834E-10
-4,15;-6,252407E-10
-4,1;-6,151991E-10
-4,05;-6,06092E-10
-4;-5,962794E-10
-3,95;-5,861107E-10
-3,9;-5,76301E-10
-3,85;-5,670879E-10
-3,8;-5,578574E-10
-3,75;-5,480852E-10
-3,7;-5,382509E-10
-3,65;-5,291208E-10
-3,6;-5,192703E-10
-3,55;-5,09475E-10
-3,5;-5,000145E-10
-3,45;-4,915117E-10
-3,4;-4,821229E-10
-3,35;-4,722913E-10
-3,3;-4,628824E-10
-3,25;-4,537064E-10
-3,2;-4,444162E-10
-3,15;-4,3513E-10
-3,1;-4,257868E-10
-3,05;-4,168983E-10
-3;-4,076554E-10
-2,95;-3,977077E-10
-2,9;-3,877541E-10
-2,85;-3,790473E-10
-2,8;-3,696891E-10
-2,75;-3,604858E-10
-2,7;-3,511893E-10
-2,65;-3,41714E-10
-2,6;-3,324637E-10
-2,55;-3,232551E-10
-2,5;-3,134928E-10
-2,45;-3,037605E-10
-2,4;-2,946286E-10
-2,35;-2,855995E-10
-2,3;-2,764254E-10
-2,25;-2,670179E-10
-2,2;-2,588714E-10
-2,15;-2,490855E-10
-2,1;-2,390773E-10
-2,05;-2,299555E-10
-2;-2,212056E-10
-1,95;-2,125705E-10
-1,9;-2,024436E-10
-1,85;-1,934751E-10
-1,8;-1,845881E-10
-1,75;-1,75549E-10
-1,7;-1,668558E-10
-1,65;-1,568762E-10
-1,6;-1,479224E-10
-1,55;-1,394184E-10
-1,5;-1,302557E-10
-1,45;-1,21224E-10
-1,4;-1,123221E-10
-1,35;-1,032557E-10
-1,3;-9,368758E-11
-1,25;-8,494025E-11
-1,2;-7,624473E-11
-1,15;-6,813389E-11
-1,1;-5,828146E-11
-1,05;-4,97603E-11
-1;-4,074588E-11
-0,95;-3,195891E-11
-0,9;-2,296061E-11
-0,85;-1,415757E-11
-0,8;-4,465835E-12
-0,75;3,673428E-12
-0,7;1,194369E-11
-0,65;2,183563E-11
-0,6;3,052491E-11
-0,55;3,924012E-11
-0,5;4,801221E-11
-0,45;5,770763E-11
-0,4;6,587903E-11
-0,35;7,402567E-11
-0,3;8,3375E-11
-0,25;9,251664E-11
-0,2;1,01531E-10
-0,15;1,095503E-10
-0,1;1,183792E-10
-0,05;1,271502E-10
0;1,359308E-10
0,05;1,422667E-10
0,1;1,496025E-10
0,15;1,571139E-10
0,2;1,654113E-10
0,25;1,741142E-10
0,3;1,821039E-10
0,35;1,896338E-10
0,4;1,979746E-10
0,45;2,064733E-10
0,5;2,14541E-10
0,55;2,231597E-10
0,6;2,319418E-10
0,65;2,405803E-10
0,7;2,482942E-10
0,75;2,555573E-10
0,8;2,637384E-10
0,85;2,736601E-10
0,9;2,819574E-10
0,95;2,899903E-10
1;2,98754E-10
1,05;3,079129E-10
1,1;3,162916E-10
1,15;3,24295E-10
1,2;3,325849E-10
1,25;3,412756E-10
1,3;3,496211E-10
1,35;3,579113E-10
1,4;3,665018E-10
1,45;3,753556E-10
1,5;3,831644E-10
1,55;3,906819E-10
1,6;3,995925E-10
1,65;4,086352E-10
1,7;4,171848E-10
1,75;4,254574E-10
1,8;4,338884E-10
1,85;4,429655E-10
1,9;4,514512E-10
1,95;4,592984E-10
2;4,674071E-10
2,05;4,762108E-10
2,1;4,851178E-10
2,15;4,933943E-10
2,2;5,009427E-10
2,25;5,093421E-10
2,3;5,176871E-10
2,35;5,254359E-10
2,4;5,333881E-10
2,45;5,416834E-10
2,5;5,503677E-10
2,55;5,586429E-10
2,6;5,664446E-10
2,65;5,751757E-10
2,7;5,83143E-10
2,75;5,909205E-10
2,8;5,990048E-10
2,85;6,078856E-10
2,9;6,166676E-10
2,95;6,245646E-10
3;6,32097E-10
3,05;6,406112E-10
3,1;6,488527E-10
3,15;6,57056E-10
3,2;6,650533E-10
3,25;6,72705E-10
3,3;6,812787E-10
3,35;6,897543E-10
3,4;6,97165E-10
3,45;7,049928E-10
3,5;7,138614E-10
3,55;7,218338E-10
3,6;7,29481E-10
3,65;7,365191E-10
3,7;7,452626E-10
3,75;7,529393E-10
3,8;7,603439E-10
3,85;7,674356E-10
3,9;7,760396E-10
3,95;7,835275E-10
4;7,91654E-10
4,05;7,997401E-10
4,1;8,076644E-10
