Tensao [V];Corrente [A]
-10;-1,738906E-09
-9,95;-1,72074E-09
-9,9;-1,703957E-09
-9,85;-1,689691E-09
-9,8;-1,676036E-09
-9,75;-1,664024E-09
-9,7;-1,653389E-09
-9,65;-1,642996E-09
-9,6;-1,632658E-09
-9,55;-1,620601E-09
-9,5;-1,60855E-09
-9,45;-1,59684E-09
-9,4;-1,587899E-09
-9,35;-1,579003E-09
-9,3;-1,569913E-09
-9,25;-1,559085E-09
-9,2;-1,548005E-09
-9,15;-1,536458E-09
-9,1;-1,52641E-09
-9,05;-1,516645E-09
-9;-1,509115E-09
-8,95;-1,499125E-09
-8,9;-1,489759E-09
-8,85;-1,478599E-09
-8,8;-1,46675E-09
-8,75;-1,455579E-09
-8,7;-1,449952E-09
-8,65;-1,440224E-09
-8,6;-1,429721E-09
-8,55;-1,418325E-09
-8,5;-1,406778E-09
-8,45;-1,396644E-09
-8,4;-1,388975E-09
-8,35;-1,380124E-09
-8,3;-1,370869E-09
-8,25;-1,361558E-09
-8,2;-1,351042E-09
-8,15;-1,340085E-09
-8,1;-1,329823E-09
-8,05;-1,321627E-09
-8;-1,313837E-09
-7,95;-1,303417E-09
-7,9;-1,292786E-09
-7,85;-1,2817E-09
-7,8;-1,272133E-09
-7,75;-1,263363E-09
-7,7;-1,25376E-09
-7,65;-1,244073E-09
-7,6;-1,233823E-09
-7,55;-1,222721E-09
-7,5;-1,212302E-09
-7,45;-1,204325E-09
-7,4;-1,196697E-09
-7,35;-1,188004E-09
-7,3;-1,178309E-09
-7,25;-1,166979E-09
-7,2;-1,156613E-09
-7,15;-1,146343E-09
-7,1;-1,138889E-09
-7,05;-1,130017E-09
-7;-1,121538E-09
-6,95;-1,111585E-09
-6,9;-1,100409E-09
-6,85;-1,089863E-09
-6,8;-1,081454E-09
-6,75;-1,073375E-09
-6,7;-1,063998E-09
-6,65;-1,055116E-09
-6,6;-1,045631E-09
-6,55;-1,033559E-09
-6,5;-1,02367E-09
-6,45;-1,014751E-09
-6,4;-1,006959E-09
-6,35;-9,980401E-10
-6,3;-9,871837E-10
-6,25;-9,767348E-10
-6,2;-9,672376E-10
-6,15;-9,582346E-10
-6,1;-9,499067E-10
-6,05;-9,415755E-10
-6;-9,309613E-10
-5,95;-9,205972E-10
-5,9;-9,111325E-10
-5,85;-9,012005E-10
-5,8;-8,935909E-10
-5,75;-8,860511E-10
-5,7;-8,776947E-10
-5,65;-8,66014E-10
-5,6;-8,546928E-10
-5,55;-8,450221E-10
-5,5;-8,357992E-10
-5,45;-8,280559E-10
-5,4;-8,192823E-10
-5,35;-8,08433E-10
-5,3;-7,977525E-10
-5,25;-7,869007E-10
-5,2;-7,781687E-10
-5,15;-7,727734E-10
-5,1;-7,632351E-10
-5,05;-7,526501E-10
-5;-7,407046E-10
-4,95;-7,312926E-10
-4,9;-7,208324E-10
-4,85;-7,133712E-10
-4,8;-7,062082E-10
-4,75;-6,958322E-10
-4,7;-6,84466E-10
-4,65;-6,736486E-10
-4,6;-6,651965E-10
-4,55;-6,56874E-10
-4,5;-6,484999E-10
-4,45;-6,383616E-10
-4,4;-6,285182E-10
-4,35;-6,182136E-10
-4,3;-6,055996E-10
-4,25;-5,985143E-10
-4,2;-5,913902E-10
-4,15;-5,829535E-10
-4,1;-5,719293E-10
-4,05;-5,604472E-10
-4;-5,495293E-10
-3,95;-5,409318E-10
-3,9;-5,33006E-10
-3,85;-5,24615E-10
-3,8;-5,153127E-10
-3,75;-5,040429E-10
-3,7;-4,937042E-10
-3,65;-4,838054E-10
-3,6;-4,761248E-10
-3,55;-4,685194E-10
-3,5;-4,568089E-10
-3,45;-4,464935E-10
-3,4;-4,368269E-10
-3,35;-4,2803E-10
-3,3;-4,188405E-10
-3,25;-4,103342E-10
-3,2;-4,022571E-10
-3,15;-3,907725E-10
-3,1;-3,783923E-10
-3,05;-3,686343E-10
-3;-3,612845E-10
-2,95;-3,543244E-10
-2,9;-3,445429E-10
-2,85;-3,325677E-10
-2,8;-3,216864E-10
-2,75;-3,121446E-10
-2,7;-3,021603E-10
-2,65;-2,940014E-10
-2,6;-2,860711E-10
-2,55;-2,75841E-10
-2,5;-2,625075E-10
-2,45;-2,513234E-10
-2,4;-2,434944E-10
-2,35;-2,348005E-10
-2,3;-2,242256E-10
-2,25;-2,150963E-10
-2,2;-2,042868E-10
-2,15;-1,945078E-10
-2,1;-1,839698E-10
-2,05;-1,751681E-10
-2;-1,68019E-10
-1,95;-1,59362E-10
-1,9;-1,468332E-10
-1,85;-1,341611E-10
-1,8;-1,249666E-10
-1,75;-1,149539E-10
-1,7;-1,058262E-10
-1,65;-9,711361E-11
-1,6;-8,788941E-11
-1,55;-7,654704E-11
-1,5;-6,38687E-11
-1,45;-5,337035E-11
-1,4;-4,451317E-11
-1,35;-3,593658E-11
-1,3;-2,542835E-11
-1,25;-1,407114E-11
-1,2;-3,912666E-12
-1,15;7,445762E-12
-1,1;1,901674E-11
-1,05;2,774659E-11
-1;3,505151E-11
-0,95;4,539037E-11
-0,9;5,845669E-11
