Tensao [V];Corrente [A]
-10;-2,136887E-09
-9,95;-2,142752E-09
-9,9;-2,116589E-09
-9,85;-2,097528E-09
-9,8;-2,08304E-09
-9,75;-2,066826E-09
-9,7;-2,047529E-09
-9,65;-2,031391E-09
-9,6;-2,018966E-09
-9,55;-2,006423E-09
-9,5;-2,005788E-09
-9,45;-1,983718E-09
-9,4;-1,964578E-09
-9,35;-1,950571E-09
-9,3;-1,94015E-09
-9,25;-1,928539E-09
-9,2;-1,913056E-09
-9,15;-1,898836E-09
-9,1;-1,885787E-09
-9,05;-1,87206E-09
-9;-1,860358E-09
-8,95;-1,850198E-09
-8,9;-1,839008E-09
-8,85;-1,825101E-09
-8,8;-1,810277E-09
-8,75;-1,798649E-09
-8,7;-1,788896E-09
-8,65;-1,77859E-09
-8,6;-1,765656E-09
-8,55;-1,752207E-09
-8,5;-1,737878E-09
-8,45;-1,728021E-09
-8,4;-1,716785E-09
-8,35;-1,706612E-09
-8,3;-1,696275E-09
-8,25;-1,682675E-09
-8,2;-1,665556E-09
-8,15;-1,656132E-09
-8,1;-1,64719E-09
-8,05;-1,635176E-09
-8;-1,621739E-09
-7,95;-1,608251E-09
-7,9;-1,597703E-09
-7,85;-1,587436E-09
-7,8;-1,576558E-09
-7,75;-1,567582E-09
-7,7;-1,553969E-09
-7,65;-1,540712E-09
-7,6;-1,52879E-09
-7,55;-1,519965E-09
-7,5;-1,511337E-09
-7,45;-1,499949E-09
-7,4;-1,484005E-09
-7,35;-1,469296E-09
-7,3;-1,459245E-09
-7,25;-1,449875E-09
-7,2;-1,438582E-09
-7,15;-1,426083E-09
-7,1;-1,413535E-09
-7,05;-1,400978E-09
-7;-1,387894E-09
-6,95;-1,37909E-09
-6,9;-1,370311E-09
-6,85;-1,357216E-09
-6,8;-1,341435E-09
-6,75;-1,330207E-09
-6,7;-1,32248E-09
-6,65;-1,312946E-09
-6,6;-1,301433E-09
-6,55;-1,287649E-09
-6,5;-1,275083E-09
-6,45;-1,264061E-09
-6,4;-1,252441E-09
-6,35;-1,243027E-09
-6,3;-1,233854E-09
-6,25;-1,220716E-09
-6,2;-1,207115E-09
-6,15;-1,196582E-09
-6,1;-1,188512E-09
-6,05;-1,179273E-09
-6;-1,167179E-09
-5,95;-1,152663E-09
-5,9;-1,140801E-09
-5,85;-1,132587E-09
-5,8;-1,122744E-09
-5,75;-1,112839E-09
-5,7;-1,101119E-09
-5,65;-1,087372E-09
-5,6;-1,073955E-09
-5,55;-1,064337E-09
-5,5;-1,056325E-09
-5,45;-1,046591E-09
-5,4;-1,032619E-09
-5,35;-1,019679E-09
-5,3;-1,007566E-09
-5,25;-9,996408E-10
-5,2;-9,896602E-10
-5,15;-9,792651E-10
-5,1;-9,655496E-10
-5,05;-9,536656E-10
-5;-9,387081E-10
-4,95;-9,3082E-10
-4,9;-9,231657E-10
-4,85;-9,158402E-10
-4,8;-9,028446E-10
-4,75;-8,938503E-10
-4,7;-9,336917E-10
-4,65;-1,06723E-09
-4,6;-1,081189E-09
-4,55;-1,00243E-09
-4,5;-9,275176E-10
-4,45;-8,72007E-10
-4,4;-8,686568E-10
-4,35;-8,771983E-10
-4,3;-8,715538E-10
-4,25;-8,500329E-10
-4,2;-8,092857E-10
-4,15;-5,767336E-10
-4,1;-6,106982E-10
-4,05;-6,709054E-10
-4;-6,993942E-10
-3,95;-6,959383E-10
-3,9;-6,846182E-10
-3,85;-6,719099E-10
-3,8;-6,639342E-10
-3,75;-6,634087E-10
-3,7;-6,625746E-10
-3,65;-6,535706E-10
-3,6;-6,38572E-10
-3,55;-6,203221E-10
-3,5;-6,107017E-10
-3,45;-6,047636E-10
-3,4;-5,933924E-10
-3,35;-5,816409E-10
-3,3;-5,719323E-10
-3,25;-5,642373E-10
-3,2;-5,533187E-10
-3,15;-5,416915E-10
-3,1;-5,272944E-10
-3,05;-5,23951E-10
-3;-5,100579E-10
-2,95;-5,091531E-10
-2,9;-4,841811E-10
-2,85;-4,737555E-10
-2,8;-4,599819E-10
-2,75;-4,480129E-10
-2,7;-4,383617E-10
-2,65;-4,285689E-10
-2,6;-4,159471E-10
-2,55;-4,036886E-10
-2,5;-3,92561E-10
-2,45;-3,788902E-10
-2,4;-3,664697E-10
-2,35;-3,529902E-10
-2,3;-3,441625E-10
-2,25;-3,343435E-10
-2,2;-3,201277E-10
-2,15;-3,053676E-10
-2,1;-2,94801E-10
-2,05;-2,847674E-10
-2;-2,722888E-10
-1,95;-2,575833E-10
-1,9;-2,430793E-10
-1,85;-2,30109E-10
-1,8;-2,174799E-10
-1,75;-2,073915E-10
-1,7;-1,95369E-10
-1,65;-1,797429E-10
-1,6;-1,614534E-10
-1,55;-1,440218E-10
-1,5;-1,341806E-10
-1,45;-1,20936E-10
-1,4;-1,03482E-10
-1,35;-8,311755E-11
-1,3;-6,683269E-11
-1,25;-4,804273E-11
-1,2;-2,562801E-11
-1,15;-4,016578E-12
-1,1;2,275815E-11
-1,05;6,074701E-11
-1;1,149106E-10
-0,95;1,824561E-10
-0,9;2,718935E-10
-0,85;3,90274E-10
-0,8;5,546919E-10
-0,75;7,590251E-10
-0,7;1,011931E-09
-0,65;1,314415E-09
-0,6;1,690297E-09
-0,55;2,237151E-09
-0,5;2,639102E-09
-0,45;3,212592E-09
-0,4;3,886092E-09
-0,35;4,603301E-09
-0,3;5,408355E-09
-0,25;6,241217E-09
-0,2;7,174141E-09
-0,15;8,1241E-09
-0,1;9,183225E-09
-0,05;1,026008E-08
0;1,168638E-08
0,05;1,270985E-08
0,1;1,398099E-08
0,15;1,537014E-08
0,2;1,678358E-08
0,25;1,826328E-08
0,3;1,969885E-08
0,35;2,185351E-08
0,4;2,326654E-08
0,45;2,477172E-08
0,5;2,616251E-08
0,55;2,76299E-08
0,6;2,892862E-08
0,65;3,036851E-08
0,7;3,158653E-08
0,75;3,29566E-08
0,8;3,429049E-08
0,85;3,544535E-08
0,9;3,663873E-08
0,95;3,769967E-08
1;3,879939E-08
1,05;3,991153E-08
1,1;4,101566E-08
1,15;4,201884E-08
1,2;4,305889E-08
1,25;4,418599E-08
1,3;4,497354E-08
1,35;4,620195E-08
1,4;4,739735E-08
1,45;4,827259E-08
1,5;4,905414E-08
1,55;4,979652E-08
1,6;5,053934E-08
1,65;5,124216E-08
1,7;5,192901E-08
1,75;5,269293E-08
1,8;5,348314E-08
1,85;5,411563E-08
1,9;5,484242E-08
1,95;5,567617E-08
2;5,625557E-08
2,05;5,684823E-08
2,1;5,749522E-08
2,15;5,809271E-08
2,2;5,871839E-08
2,25;5,91735E-08
2,3;5,981976E-08
2,35;6,035253E-08
2,4;6,091052E-08
2,45;6,137675E-08
2,5;6,222167E-08
2,55;6,281338E-08
2,6;6,335163E-08
2,65;6,401927E-08
2,7;6,462726E-08
2,75;6,5068E-08
2,8;6,557283E-08
2,85;6,603396E-08
2,9;6,649072E-08
2,95;6,684634E-08
3;6,734383E-08
3,05;6,7637E-08
3,1;6,807864E-08
3,15;6,853496E-08
3,2;6,911669E-08
3,25;6,957929E-08
3,3;6,994079E-08
3,35;7,052018E-08
3,4;7,106266E-08
3,45;7,140716E-08
3,5;7,18603E-08
3,55;7,215971E-08
3,6;7,257303E-08
3,65;7,285148E-08
3,7;7,343134E-08
3,75;7,382528E-08
3,8;7,427771E-08
3,85;7,448683E-08
3,9;7,504698E-08
3,95;7,559564E-08
4;7,608779E-08
4,05;7,642551E-08
4,1;7,693645E-08
4,15;7,7309E-08
4,2;7,781856E-08
4,25;7,794534E-08
4,3;7,846723E-08
4,35;7,881933E-08
4,4;7,898569E-08
4,45;7,932289E-08
4,5;7,977739E-08
4,55;8,022491E-08
4,6;8,064193E-08
4,65;8,093124E-08
4,7;8,148151E-08
4,75;8,167211E-08
4,8;8,214658E-08
4,85;8,230755E-08
4,9;8,280711E-08
4,95;8,285468E-08
5;8,315729E-08
5,05;8,337478E-08
5,1;8,382294E-08
5,15;8,394507E-08
5,2;8,437865E-08
5,25;8,49016E-08
5,3;8,526106E-08
5,35;8,548354E-08
5,4;8,606195E-08
5,45;8,633401E-08
5,5;8,64001E-08
5,55;8,667664E-08
5,6;8,695363E-08
5,65;8,711668E-08
5,7;8,72213E-08
5,75;8,737501E-08
5,8;8,787165E-08
5,85;8,807689E-08
5,9;8,851426E-08
5,95;8,884296E-08
6;8,935467E-08
6,05;8,953181E-08
6,1;8,998357E-08
6,15;9,001078E-08
6,2;9,03469E-08
6,25;9,034441E-08
6,3;9,050717E-08
6,35;9,069697E-08
6,4;9,0989E-08
6,45;9,097096E-08
6,5;9,148635E-08
6,55;9,169247E-08
6,6;9,205851E-08
6,65;9,227902E-08
6,7;9,258827E-08
6,75;9,271939E-08
6,8;9,298164E-08
6,85;9,317747E-08
6,9;9,355786E-08
6,95;9,368733E-08
7;9,367732E-08
7,05;9,376882E-08
7,1;9,39005E-08
7,15;9,404914E-08
7,2;9,453122E-08
7,25;9,451102E-08
7,3;9,491821E-08
7,35;9,508604E-08
7,4;9,563631E-08
7,45;9,57066E-08
7,5;9,620216E-08
7,55;9,669156E-08
7,6;9,686836E-08
7,65;9,706531E-08
7,7;9,692309E-08
7,75;9,721682E-08
7,8;9,730811E-08
7,85;9,746888E-08
7,9;9,737295E-08
7,95;9,732642E-08
8;9,748595E-08
8,05;9,783771E-08
8,1;9,791183E-08
8,15;9,810189E-08
8,2;9,864453E-08
8,25;9,86807E-08
8,3;9,915787E-08
8,35;9,946903E-08
8,4;9,926536E-08
8,45;9,962775E-08
8,5;9,939396E-08
8,55;9,967936E-08
8,6;9,9735E-08
8,65;9,976003E-08
8,7;9,996463E-08
8,75;9,992417E-08
8,8;1,000427E-07
8,85;1,002048E-07
8,9;1,001074E-07
8,95;1,005082E-07
9;1,007206E-07
9,05;1,009023E-07
9,1;1,011123E-07
9,15;1,015345E-07
9,2;1,014555E-07
9,25;1,018111E-07
9,3;1,0183E-07
9,35;1,019691E-07
9,4;1,019135E-07
9,45;1,01472E-07
9,5;1,018048E-07
9,55;1,018785E-07
9,6;1,02006E-07
9,65;1,022983E-07
9,7;1,027904E-07
9,75;1,029793E-07
9,8;1,029082E-07
9,85;1,04145E-07
9,9;1,037156E-07
9,95;1,036611E-07
10;1,039484E-07
