Tensao [V];Corrente [A]
-10;-2,113999E-09
-9,95;-2,148366E-09
-9,9;-2,125295E-09
-9,85;-2,10692E-09
-9,8;-2,087286E-09
-9,75;-2,071362E-09
-9,7;-2,057412E-09
-9,65;-2,041191E-09
-9,6;-2,025911E-09
-9,55;-2,010821E-09
-9,5;-2,003123E-09
-9,45;-1,988029E-09
-9,4;-1,971808E-09
-9,35;-1,952759E-09
-9,3;-1,935336E-09
-9,25;-1,923871E-09
-9,2;-1,914605E-09
-9,15;-1,899453E-09
-9,1;-1,886128E-09
-9,05;-1,875414E-09
-9;-1,864298E-09
-8,95;-1,853474E-09
-8,9;-1,841883E-09
-8,85;-1,8293E-09
-8,8;-1,814031E-09
-8,75;-1,800765E-09
-8,7;-1,790094E-09
-8,65;-1,781003E-09
-8,6;-1,7694E-09
-8,55;-1,754697E-09
-8,5;-1,740502E-09
-8,45;-1,728912E-09
-8,4;-1,719188E-09
-8,35;-1,707748E-09
-8,3;-1,694899E-09
-8,25;-1,684292E-09
-8,2;-1,67323E-09
-8,15;-1,659889E-09
-8,1;-1,647662E-09
-8,05;-1,638609E-09
-8;-1,609854E-09
-7,95;-1,590202E-09
-7,9;-1,579868E-09
-7,85;-1,574241E-09
-7,8;-1,567222E-09
-7,75;-1,555148E-09
-7,7;-1,536404E-09
-7,65;-1,516308E-09
-7,6;-1,50826E-09
-7,55;-1,50276E-09
-7,5;-1,501904E-09
-7,45;-1,490077E-09
-7,4;-1,468985E-09
-7,35;-1,440974E-09
-7,3;-1,425353E-09
-7,25;-1,425398E-09
-7,2;-1,426707E-09
-7,15;-1,420122E-09
-7,1;-1,403512E-09
-7,05;-1,388885E-09
-7;-1,373217E-09
-6,95;-1,353182E-09
-6,9;-1,350301E-09
-6,85;-1,350149E-09
-6,8;-1,339335E-09
-6,75;-1,324837E-09
-6,7;-1,310767E-09
-6,65;-1,300561E-09
-6,6;-1,292041E-09
-6,55;-1,281153E-09
-6,5;-1,265429E-09
-6,45;-1,24527E-09
-6,4;-1,235604E-09
-6,35;-1,237596E-09
-6,3;-1,227181E-09
-6,25;-1,209773E-09
-6,2;-1,192355E-09
-6,15;-1,178113E-09
-6,1;-1,168861E-09
-6,05;-1,157028E-09
-6;-1,148641E-09
-5,95;-1,136004E-09
-5,9;-1,12191E-09
-5,85;-1,112516E-09
-5,8;-1,098921E-09
-5,75;-1,087491E-09
-5,7;-1,078546E-09
-5,65;-1,068202E-09
-5,6;-1,054531E-09
-5,55;-1,042064E-09
-5,5;-1,030444E-09
-5,45;-1,018965E-09
-5,4;-1,006508E-09
-5,35;-9,948037E-10
-5,3;-9,826373E-10
-5,25;-9,717788E-10
-5,2;-9,592698E-10
-5,15;-9,50207E-10
-5,1;-9,380274E-10
-5,05;-9,250691E-10
-5;-9,104644E-10
-4,95;-8,979439E-10
-4,9;-8,875622E-10
-4,85;-8,794181E-10
-4,8;-8,705107E-10
-4,75;-8,596905E-10
-4,7;-8,46996E-10
-4,65;-8,315346E-10
-4,6;-8,205442E-10
-4,55;-8,112657E-10
-4,5;-8,009843E-10
-4,45;-7,866224E-10
-4,4;-7,726729E-10
-4,35;-7,611809E-10
-4,3;-7,510164E-10
-4,25;-7,397171E-10
-4,2;-7,276252E-10
-4,15;-7,108309E-10
-4,1;-6,938962E-10
-4,05;-6,824321E-10
-4;-6,752019E-10
-3,95;-6,694232E-10
-3,9;-6,588228E-10
-3,85;-6,436525E-10
-3,8;-6,288401E-10
-3,75;-6,226266E-10
-3,7;-6,136974E-10
-3,65;-5,999193E-10
-3,6;-5,857072E-10
-3,55;-5,69966E-10
-3,5;-5,474606E-10
-3,45;-5,297378E-10
-3,4;-5,148497E-10
-3,35;-5,030442E-10
-3,3;-4,918213E-10
-3,25;-4,780082E-10
-3,2;-4,652008E-10
-3,15;-4,601358E-10
-3,1;-4,515641E-10
-3,05;-4,393473E-10
-3;-4,286572E-10
-2,95;-4,198134E-10
-2,9;-4,069488E-10
-2,85;-3,942762E-10
-2,8;-3,845586E-10
-2,75;-3,753341E-10
-2,7;-3,54569E-10
-2,65;-3,35817E-10
-2,6;-3,278642E-10
-2,55;-3,256467E-10
-2,5;-3,157808E-10
-2,45;-2,997642E-10
-2,4;-2,839657E-10
-2,35;-2,69217E-10
-2,3;-2,620869E-10
-2,25;-2,527352E-10
-2,2;-2,417767E-10
-2,15;-2,391666E-10
-2,1;-2,359225E-10
-2,05;-2,26311E-10
-2;-2,024932E-10
-1,95;-1,798161E-10
-1,9;-1,625744E-10
-1,85;-1,482481E-10
-1,8;-1,346165E-10
-1,75;-1,244995E-10
-1,7;-1,078252E-10
-1,65;-8,767423E-11
-1,6;-6,502314E-11
-1,55;-4,561987E-11
-1,5;-2,830403E-11
-1,45;-1,699333E-11
-1,4;-7,132279E-12
-1,35;6,702076E-12
-1,3;9,482791E-12
-1,25;1,437436E-11
-1,2;3,138362E-11
-1,15;5,393578E-11
-1,1;8,253756E-11
-1,05;1,17656E-10
-1;1,618468E-10
-0,95;2,09585E-10
-0,9;2,627496E-10
-0,85;3,180363E-10
