Tensao [V];Corrente [A]
-10;-1,608645E-09
-9,95;-1,596735E-09
-9,9;-1,585614E-09
-9,85;-1,574921E-09
-9,8;-1,565255E-09
-9,75;-1,556998E-09
-9,7;-1,547816E-09
-9,65;-1,537448E-09
-9,6;-1,527978E-09
-9,55;-1,519729E-09
-9,5;-1,511035E-09
-9,45;-1,501435E-09
-9,4;-1,491984E-09
-9,35;-1,484199E-09
-9,3;-1,475355E-09
-9,25;-1,465358E-09
-9,2;-1,455644E-09
-9,15;-1,447778E-09
-9,1;-1,439342E-09
-9,05;-1,43002E-09
-9;-1,421733E-09
-8,95;-1,413945E-09
-8,9;-1,405307E-09
-8,85;-1,400764E-09
-8,8;-1,390882E-09
-8,75;-1,380824E-09
-8,7;-1,371834E-09
-8,65;-1,362609E-09
-8,6;-1,353821E-09
-8,55;-1,346181E-09
-8,5;-1,332141E-09
-8,45;-1,327093E-09
-8,4;-1,319083E-09
-8,35;-1,311472E-09
-8,3;-1,303791E-09
-8,25;-1,294919E-09
-8,2;-1,28647E-09
-8,15;-1,279312E-09
-8,1;-1,269634E-09
-8,05;-1,258222E-09
-8;-1,24697E-09
-7,95;-1,238908E-09
-7,9;-1,231313E-09
-7,85;-1,223318E-09
-7,8;-1,215262E-09
-7,75;-1,20781E-09
-7,7;-1,200199E-09
-7,65;-1,190304E-09
-7,6;-1,182986E-09
-7,55;-1,176755E-09
-7,5;-1,169333E-09
-7,45;-1,15959E-09
-7,4;-1,150621E-09
-7,35;-1,14288E-09
-7,3;-1,134356E-09
-7,25;-1,125256E-09
-7,2;-1,11677E-09
-7,15;-1,109225E-09
-7,1;-1,101379E-09
-7,05;-1,092566E-09
-7;-1,083141E-09
-6,95;-1,075129E-09
-6,9;-1,067539E-09
-6,85;-1,058024E-09
-6,8;-1,048705E-09
-6,75;-1,043139E-09
-6,7;-1,034357E-09
-6,65;-1,024474E-09
-6,6;-1,013673E-09
-6,55;-1,004875E-09
-6,5;-9,973694E-10
-6,45;-9,877219E-10
-6,4;-9,798161E-10
-6,35;-9,721388E-10
-6,3;-9,65012E-10
-6,25;-9,549257E-10
-6,2;-9,456095E-10
-6,15;-9,373637E-10
-6,1;-9,281689E-10
-6,05;-9,186746E-10
-6;-9,103129E-10
-5,95;-9,031336E-10
-5,9;-8,942779E-10
-5,85;-8,835835E-10
-5,8;-8,731945E-10
-5,75;-8,661215E-10
-5,7;-8,577765E-10
-5,65;-8,486858E-10
-5,6;-8,390846E-10
-5,55;-8,310023E-10
-5,5;-8,219813E-10
-5,45;-8,122745E-10
-5,4;-8,035166E-10
-5,35;-7,929145E-10
-5,3;-7,849281E-10
-5,25;-7,766033E-10
-5,2;-7,635505E-10
-5,15;-7,557867E-10
-5,1;-7,494301E-10
-5,05;-7,380663E-10
-5;-7,275212E-10
-4,95;-7,264327E-10
-4,9;-7,193761E-10
-4,85;-7,047586E-10
-4,8;-6,917192E-10
-4,75;-6,813987E-10
-4,7;-6,721759E-10
-4,65;-6,622027E-10
-4,6;-6,51367E-10
-4,55;-6,427175E-10
-4,5;-6,352687E-10
-4,45;-6,262179E-10
-4,4;-6,162906E-10
-4,35;-6,075905E-10
-4,3;-5,950864E-10
-4,25;-5,791924E-10
-4,2;-5,69035E-10
-4,15;-5,654932E-10
-4,1;-5,571663E-10
-4,05;-5,474496E-10
-4;-5,387484E-10
-3,95;-5,273071E-10
-3,9;-5,192162E-10
-3,85;-5,111808E-10
-3,8;-5,018909E-10
-3,75;-4,921997E-10
-3,7;-4,834572E-10
-3,65;-4,733741E-10
-3,6;-4,644234E-10
-3,55;-4,567856E-10
-3,5;-4,487605E-10
-3,45;-4,382237E-10
-3,4;-4,275364E-10
-3,35;-4,183218E-10
-3,3;-4,089095E-10
-3,25;-3,996719E-10
-3,2;-3,901101E-10
-3,15;-3,804576E-10
-3,1;-3,717954E-10
-3,05;-3,600338E-10
-3;-3,512362E-10
-2,95;-3,422012E-10
-2,9;-3,337553E-10
-2,85;-3,237229E-10
-2,8;-3,153132E-10
-2,75;-3,04748E-10
-2,7;-2,950654E-10
-2,65;-2,852046E-10
-2,6;-2,748915E-10
-2,55;-2,660741E-10
-2,5;-2,566534E-10
-2,45;-2,467593E-10
-2,4;-2,364029E-10
-2,35;-2,271849E-10
-2,3;-2,202468E-10
-2,25;-2,094866E-10
-2,2;-1,983431E-10
-2,15;-1,88758E-10
-2,1;-1,798835E-10
-2,05;-1,697732E-10
-2;-1,602129E-10
-1,95;-1,505314E-10
-1,9;-1,400984E-10
-1,85;-1,288376E-10
-1,8;-1,192253E-10
-1,75;-1,100654E-10
-1,7;-1,00788E-10
-1,65;-9,143777E-11
-1,6;-8,161417E-11
-1,55;-7,084884E-11
-1,5;-6,083491E-11
-1,45;-5,030322E-11
-1,4;-4,017684E-11
-1,35;-3,135797E-11
-1,3;-2,187174E-11
-1,25;-1,105207E-11
-1,2;1,231291E-14
-1,15;8,450513E-12
-1,1;1,699994E-11
-1,05;2,625135E-11
-1;3,678549E-11
-0,95;4,761624E-11
-0,9;5,811951E-11
