Tensao [V];Corrente [A]
-10;-1,448862E-09
-9,95;-1,437164E-09
-9,9;-1,427949E-09
-9,85;-1,419556E-09
-9,8;-1,411501E-09
-9,75;-1,403086E-09
-9,7;-1,394006E-09
-9,65;-1,385641E-09
-9,6;-1,378669E-09
-9,55;-1,370072E-09
-9,5;-1,36071E-09
-9,45;-1,352475E-09
-9,4;-1,344687E-09
-9,35;-1,336255E-09
-9,3;-1,328391E-09
-9,25;-1,319113E-09
-9,2;-1,310633E-09
-9,15;-1,302577E-09
-9,1;-1,294981E-09
-9,05;-1,286757E-09
-9;-1,278998E-09
-8,95;-1,270558E-09
-8,9;-1,262569E-09
-8,85;-1,25411E-09
-8,8;-1,24615E-09
-8,75;-1,238581E-09
-8,7;-1,230259E-09
-8,65;-1,222443E-09
-8,6;-1,214595E-09
-8,55;-1,205757E-09
-8,5;-1,197751E-09
-8,45;-1,189208E-09
-8,4;-1,181423E-09
-8,35;-1,174233E-09
-8,3;-1,165562E-09
-8,25;-1,156594E-09
-8,2;-1,150005E-09
-8,15;-1,142121E-09
-8,1;-1,134335E-09
-8,05;-1,125976E-09
-8;-1,118691E-09
-7,95;-1,111402E-09
-7,9;-1,103574E-09
-7,85;-1,095381E-09
-7,8;-1,087722E-09
-7,75;-1,079389E-09
-7,7;-1,071406E-09
-7,65;-1,063399E-09
-7,6;-1,055381E-09
-7,55;-1,048077E-09
-7,5;-1,039544E-09
-7,45;-1,030686E-09
-7,4;-1,023544E-09
-7,35;-1,01617E-09
-7,3;-1,008669E-09
-7,25;-1,001266E-09
-7,2;-9,940246E-10
-7,15;-9,855977E-10
-7,1;-9,779825E-10
-7,05;-9,695491E-10
-7;-9,619481E-10
-6,95;-9,553737E-10
-6,9;-9,478426E-10
-6,85;-9,396482E-10
-6,8;-9,313226E-10
-6,75;-9,233777E-10
-6,7;-9,150433E-10
-6,65;-9,069563E-10
-6,6;-8,992953E-10
-6,55;-8,921725E-10
-6,5;-8,845579E-10
-6,45;-8,770318E-10
-6,4;-8,690421E-10
-6,35;-8,614593E-10
-6,3;-8,532768E-10
-6,25;-8,453531E-10
-6,2;-8,373546E-10
-6,15;-8,30383E-10
-6,1;-8,224981E-10
-6,05;-8,143884E-10
-6;-8,062825E-10
-5,95;-7,992577E-10
-5,9;-7,914672E-10
-5,85;-7,841433E-10
