Tensao [V];Corrente [A]
-10;-1,991438E-09
-9,95;-1,969616E-09
-9,9;-1,950311E-09
-9,85;-1,937623E-09
-9,8;-1,920144E-09
-9,75;-1,908337E-09
-9,7;-1,892611E-09
-9,65;-1,880381E-09
-9,6;-1,869071E-09
-9,55;-1,853288E-09
-9,5;-1,838139E-09
-9,45;-1,822923E-09
-9,4;-1,810885E-09
-9,35;-1,801021E-09
-9,3;-1,789988E-09
-9,25;-1,778405E-09
-9,2;-1,76471E-09
-9,15;-1,752634E-09
-9,1;-1,738356E-09
-9,05;-1,728629E-09
-9;-1,716075E-09
-8,95;-1,707627E-09
-8,9;-1,696443E-09
-8,85;-1,681028E-09
-8,8;-1,668185E-09
-8,75;-1,659392E-09
-8,7;-1,648395E-09
-8,65;-1,638617E-09
-8,6;-1,626001E-09
-8,55;-1,611472E-09
-8,5;-1,597303E-09
-8,45;-1,587614E-09
-8,4;-1,579819E-09
-8,35;-1,568648E-09
-8,3;-1,556993E-09
-8,25;-1,544271E-09
-8,2;-1,531576E-09
-8,15;-1,519816E-09
-8,1;-1,511443E-09
-8,05;-1,501211E-09
-8;-1,490491E-09
-7,95;-1,47734E-09
-7,9;-1,467525E-09
-7,85;-1,455385E-09
-7,8;-1,447846E-09
-7,75;-1,434305E-09
-7,7;-1,424701E-09
-7,65;-1,413893E-09
-7,6;-1,399737E-09
-7,55;-1,386687E-09
-7,5;-1,377589E-09
-7,45;-1,368942E-09
-7,4;-1,357769E-09
-7,35;-1,345935E-09
-7,3;-1,336104E-09
-7,25;-1,323487E-09
-7,2;-1,313953E-09
-7,15;-1,304963E-09
-7,1;-1,295605E-09
-7,05;-1,281913E-09
-7;-1,270963E-09
-6,95;-1,260866E-09
-6,9;-1,2504E-09
-6,85;-1,242456E-09
-6,8;-1,232023E-09
-6,75;-1,219195E-09
-6,7;-1,206408E-09
-6,65;-1,195659E-09
-6,6;-1,185278E-09
-6,55;-1,176651E-09
-6,5;-1,166769E-09
-6,45;-1,153966E-09
-6,4;-1,140911E-09
-6,35;-1,132021E-09
-6,3;-1,125754E-09
-6,25;-1,123645E-09
-6,2;-1,117446E-09
-6,15;-1,100496E-09
-6,1;-1,079416E-09
-6,05;-1,069518E-09
-6;-1,063605E-09
-5,95;-1,060883E-09
-5,9;-1,055358E-09
-5,85;-1,037528E-09
-5,8;-1,02108E-09
-5,75;-1,013745E-09
-5,7;-1,002986E-09
-5,65;-9,960913E-10
-5,6;-9,890031E-10
-5,55;-9,757728E-10
-5,5;-9,608304E-10
-5,45;-9,500786E-10
-5,4;-9,384943E-10
-5,35;-9,277122E-10
