Tensao [V];Corrente [A]
-10;-2,990936E-10
-9,95;-2,818434E-10
-9,9;-2,733974E-10
-9,85;-2,65112E-10
-9,8;-2,592689E-10
-9,75;-2,547023E-10
-9,7;-2,479274E-10
-9,65;-2,447511E-10
-9,6;-2,385989E-10
-9,55;-2,375535E-10
-9,5;-2,375397E-10
-9,45;-2,304768E-10
-9,4;-2,281373E-10
-9,35;-2,238376E-10
-9,3;-2,206899E-10
-9,25;-2,185569E-10
-9,2;-2,163619E-10
-9,15;-2,126937E-10
-9,1;-2,111255E-10
-9,05;-2,074563E-10
-9;-2,059052E-10
-8,95;-2,03652E-10
-8,9;-2,029526E-10
-8,85;-2,014671E-10
-8,8;-1,980857E-10
-8,75;-1,976397E-10
-8,7;-1,951334E-10
-8,65;-1,927406E-10
-8,6;-1,933462E-10
-8,55;-1,90589E-10
-8,5;-1,878182E-10
-8,45;-1,878638E-10
-8,4;-1,83054E-10
-8,35;-1,831602E-10
-8,3;-1,821332E-10
-8,25;-1,791052E-10
-8,2;-1,774628E-10
-8,15;-1,7541E-10
-8,1;-1,738813E-10
-8,05;-1,705864E-10
-8;-1,698559E-10
-7,95;-1,681914E-10
-7,9;-1,670717E-10
-7,85;-1,652314E-10
-7,8;-1,640437E-10
-7,75;-1,604473E-10
-7,7;-1,601137E-10
-7,65;-1,590358E-10
-7,6;-1,57108E-10
-7,55;-1,553579E-10
-7,5;-1,53907E-10
-7,45;-1,577394E-10
-7,4;-1,519407E-10
-7,35;-1,49956E-10
-7,3;-1,509224E-10
-7,25;-1,461964E-10
-7,2;-1,471901E-10
-7,15;-1,451843E-10
-7,1;-1,437754E-10
-7,05;-1,418549E-10
-7;-1,407907E-10
-6,95;-1,399083E-10
-6,9;-1,378655E-10
-6,85;-1,344642E-10
-6,8;-1,36181E-10
-6,75;-1,329491E-10
-6,7;-1,318108E-10
-6,65;-1,315773E-10
-6,6;-1,304032E-10
-6,55;-1,269476E-10
-6,5;-1,276991E-10
-6,45;-1,252064E-10
-6,4;-1,192247E-10
-6,35;-1,233871E-10
-6,3;-1,200812E-10
-6,25;-1,170805E-10
-6,2;-1,186266E-10
-6,15;-1,198623E-10
-6,1;-1,152674E-10
-6,05;-1,175946E-10
-6;-1,12645E-10
-5,95;-1,112409E-10
-5,9;-1,107145E-10
-5,85;-1,090968E-10
-5,8;-1,085629E-10
-5,75;-1,08144E-10
-5,7;-1,057364E-10
-5,65;-1,022723E-10
-5,6;-1,007236E-10
-5,55;-1,019448E-10
-5,5;-9,827545E-11
-5,45;-9,755121E-11
-5,4;-9,667617E-11
-5,35;-9,414759E-11
-5,3;-9,494096E-11
-5,25;-9,351978E-11
-5,2;-9,120007E-11
-5,15;-8,923749E-11
-5,1;-8,856018E-11
-5,05;-8,757525E-11
-5;-8,627631E-11
-4,95;-8,439899E-11
-4,9;-8,415181E-11
-4,85;-8,399868E-11
-4,8;-8,25242E-11
-4,75;-8,14132E-11
-4,7;-8,028481E-11
-4,65;-7,916884E-11
-4,6;-7,69813E-11
-4,55;-7,495209E-11
-4,5;-7,52042E-11
-4,45;-7,268047E-11
-4,4;-7,158546E-11
-4,35;-6,961303E-11
-4,3;-6,935359E-11
-4,25;-6,700787E-11
-4,2;-6,498225E-11
-4,15;-6,407262E-11
-4,1;-6,103362E-11
-4,05;-6,262544E-11
-4;-6,049474E-11
-3,95;-5,757321E-11
-3,9;-5,90772E-11
-3,85;-5,635956E-11
-3,8;-5,511751E-11
-3,75;-5,259752E-11
-3,7;-5,286576E-11
-3,65;-5,164349E-11
-3,6;-5,172256E-11
-3,55;-4,85019E-11
-3,5;-4,817564E-11
-3,45;-4,616115E-11
-3,4;-4,507728E-11
-3,35;-4,440249E-11
-3,3;-4,236704E-11
-3,25;-4,097665E-11
-3,2;-3,889792E-11
-3,15;-3,707625E-11
-3,1;-3,583294E-11
-3,05;-3,665357E-11
-3;-3,324998E-11
-2,95;-2,749823E-11
-2,9;-2,643291E-11
-2,85;-2,834108E-11
-2,8;-2,539847E-11
-2,75;-2,425406E-11
-2,7;-2,186265E-11
-2,65;-2,169332E-11
-2,6;-1,875441E-11
-2,55;-1,369475E-11
-2,5;-1,707486E-11
-2,45;-1,591192E-11
-2,4;-1,159871E-11
-2,35;-1,064956E-11
-2,3;-9,150449E-12
-2,25;-6,996325E-12
-2,2;-3,881922E-12
-2,15;-7,477497E-13
-2,1;1,798142E-12
-2,05;2,722572E-12
-2;4,494805E-12
-1,95;4,607269E-12
-1,9;1,019339E-11
-1,85;1,145027E-11
-1,8;1,708583E-11
-1,75;1,944387E-11
-1,7;1,919547E-11
-1,65;2,393746E-11
-1,6;2,988695E-11
-1,55;3,415686E-11
-1,5;4,018542E-11
-1,45;4,357299E-11
-1,4;5,022564E-11
-1,35;5,658047E-11
-1,3;6,332086E-11
-1,25;7,262822E-11
-1,2;8,248673E-11
-1,15;9,815627E-11
-1,1;1,194329E-10
-1,05;1,454345E-10
-1;1,89927E-10
-0,95;2,489073E-10
-0,9;3,396894E-10
-0,85;4,573726E-10
-0,8;6,279828E-10
-0,75;8,411637E-10
-0,7;1,119044E-09
-0,65;1,456782E-09
-0,6;1,884981E-09
-0,55;2,560584E-09
-0,5;3,017946E-09
-0,45;3,714298E-09
-0,4;4,52353E-09
-0,35;5,419424E-09
-0,3;6,397383E-09
-0,25;7,426354E-09
-0,2;8,523967E-09
-0,15;9,69899E-09
-0,1;1,097906E-08
-0,05;1,229333E-08
0;1,40764E-08
0,05;1,533145E-08
0,1;1,686508E-08
0,15;1,852345E-08
0,2;2,014701E-08
0,25;2,268561E-08
0,3;2,434097E-08
0,35;2,589252E-08
0,4;2,741705E-08
0,45;2,887805E-08
0,5;3,042243E-08
0,55;3,192776E-08
0,6;3,338159E-08
0,65;3,473886E-08
0,7;3,602371E-08
0,75;3,740183E-08
0,8;3,885905E-08
0,85;4,010798E-08
0,9;4,131821E-08
0,95;4,244997E-08
1;4,366575E-08
1,05;4,486994E-08
1,1;4,591771E-08
1,15;4,693268E-08
1,2;4,804846E-08
1,25;4,901007E-08
1,3;4,999067E-08
1,35;5,090823E-08
1,4;5,181203E-08
1,45;5,264974E-08
1,5;5,341182E-08
1,55;5,41896E-08
1,6;5,49051E-08
1,65;5,569627E-08
1,7;5,654489E-08
1,75;5,709112E-08
1,8;5,785644E-08
1,85;5,859553E-08
1,9;5,927455E-08
1,95;6,002978E-08
2;6,062304E-08
2,05;6,120404E-08
2,1;6,192553E-08
2,15;6,234345E-08
2,2;6,297251E-08
2,25;6,347194E-08
2,3;6,429717E-08
2,35;6,486949E-08
2,4;6,536487E-08
2,45;6,580861E-08
2,5;6,635494E-08
2,55;6,693998E-08
2,6;6,764809E-08
2,65;6,782391E-08
2,7;6,827633E-08
2,75;6,893254E-08
2,8;6,928165E-08
2,85;6,997278E-08
2,9;7,030763E-08
2,95;7,069254E-08
3;7,108504E-08
3,05;7,129602E-08
3,1;7,196358E-08
3,15;7,239034E-08
3,2;7,280464E-08
3,25;7,323327E-08
3,3;7,364378E-08
3,35;7,401434E-08
3,4;7,414096E-08
3,45;7,429073E-08
3,5;7,514073E-08
3,55;7,537168E-08
3,6;7,571969E-08
3,65;7,591201E-08
3,7;7,628864E-08
3,75;7,681684E-08
3,8;7,717343E-08
3,85;7,757174E-08
3,9;7,79414E-08
3,95;8,18907E-08
4;8,271432E-08
4,05;8,289905E-08
4,1;8,360331E-08
4,15;8,377866E-08
4,2;8,415557E-08
4,25;8,435028E-08
4,3;8,504291E-08
4,35;8,538397E-08
4,4;8,599932E-08
4,45;8,608651E-08
4,5;8,682882E-08
4,55;8,731557E-08
4,6;8,722348E-08
4,65;8,83179E-08
4,7;8,843901E-08
4,75;8,893222E-08
4,8;8,941747E-08
4,85;8,935701E-08
4,9;9,004916E-08
4,95;9,023768E-08
5;9,040679E-08
5,05;9,052255E-08
5,1;9,104684E-08
5,15;9,128905E-08
5,2;9,161547E-08
5,25;9,18254E-08
5,3;9,241263E-08
5,35;9,232916E-08
5,4;9,272365E-08
5,45;9,262953E-08
5,5;9,301569E-08
5,55;9,374785E-08
5,6;9,411812E-08
5,65;9,376364E-08
5,7;9,424027E-08
5,75;9,460656E-08
5,8;9,497652E-08
5,85;9,517291E-08
5,9;9,559975E-08
5,95;9,585062E-08
