Tensao [V];Corrente [A]
-10;-2,010946E-10
-9,95;-1,915429E-10
-9,9;-1,897026E-10
-9,85;-1,884803E-10
-9,8;-1,847481E-10
-9,75;-1,828424E-10
-9,7;-1,816907E-10
-9,65;-1,795192E-10
-9,6;-1,779238E-10
-9,55;-1,746338E-10
-9,5;-1,732707E-10
-9,45;-1,721202E-10
-9,4;-1,708991E-10
-9,35;-1,694618E-10
-9,3;-1,681421E-10
-9,25;-1,669704E-10
-9,2;-1,654243E-10
-9,15;-1,635496E-10
-9,1;-1,61115E-10
-9,05;-1,606379E-10
-9;-1,597346E-10
-8,95;-1,58286E-10
-8,9;-1,553139E-10
-8,85;-1,555463E-10
-8,8;-1,539434E-10
-8,75;-1,522675E-10
-8,7;-1,502555E-10
-8,65;-1,497971E-10
-8,6;-1,489864E-10
-8,55;-1,465331E-10
-8,5;-1,449118E-10
-8,45;-1,451317E-10
-8,4;-1,43215E-10
-8,35;-1,414983E-10
-8,3;-1,389142E-10
-8,25;-1,375499E-10
-8,2;-1,377685E-10
-8,15;-1,349805E-10
-8,1;-1,337694E-10
-8,05;-1,336049E-10
-8;-1,322987E-10
-7,95;-1,310901E-10
-7,9;-1,285579E-10
-7,85;-1,276111E-10
-7,8;-1,264532E-10
-7,75;-1,247712E-10
-7,7;-1,23942E-10
-7,65;-1,227592E-10
-7,6;-1,2095E-10
-7,55;-1,205705E-10
-7,5;-1,181174E-10
-7,45;-1,178924E-10
-7,4;-1,146459E-10
-7,35;-1,139031E-10
-7,3;-1,12776E-10
-7,25;-1,118084E-10
-7,2;-1,110285E-10
-7,15;-1,092761E-10
-7,1;-1,057849E-10
-7,05;-1,050323E-10
-7;-1,044415E-10
-6,95;-1,03695E-10
-6,9;-1,00289E-10
-6,85;-9,917309E-11
-6,8;-9,873066E-11
-6,75;-9,743423E-11
-6,7;-9,579176E-11
-6,65;-9,539753E-11
-6,6;-9,343866E-11
-6,55;-9,254644E-11
-6,5;-8,892292E-11
-6,45;-8,890935E-11
-6,4;-8,892791E-11
-6,35;-8,743994E-11
-6,3;-8,604837E-11
-6,25;-8,542918E-11
-6,2;-8,384367E-11
-6,15;-8,296491E-11
-6,1;-8,051426E-11
-6,05;-7,837749E-11
-6;-7,704896E-11
-5,95;-7,667567E-11
-5,9;-7,483185E-11
-5,85;-7,334018E-11
-5,8;-7,273707E-11
-5,75;-7,125034E-11
-5,7;-6,741551E-11
-5,65;-6,752918E-11
-5,6;-6,570876E-11
-5,55;-6,57434E-11
-5,5;-6,426529E-11
-5,45;-6,171699E-11
-5,4;-6,136107E-11
-5,35;-6,086427E-11
-5,3;-5,895121E-11
-5,25;-5,63139E-11
-5,2;-5,48321E-11
-5,15;-5,546364E-11
-5,1;-5,395711E-11
-5,05;-5,222201E-11
-5;-4,960328E-11
-4,95;-5,004443E-11
-4,9;-4,984917E-11
-4,85;-4,762709E-11
-4,8;-4,610456E-11
-4,75;-4,527282E-11
-4,7;-4,417908E-11
-4,65;-4,172098E-11
-4,6;-4,193726E-11
-4,55;-4,066929E-11
-4,5;-3,985116E-11
-4,45;-3,647853E-11
-4,4;-3,606698E-11
-4,35;-3,498565E-11
-4,3;-3,360025E-11
-4,25;-3,171804E-11
-4,2;-3,026965E-11
-4,15;-2,898685E-11
-4,1;-2,908079E-11
-4,05;-2,664613E-11
-4;-2,459834E-11
-3,95;-2,346506E-11
-3,9;-2,454642E-11
-3,85;-2,320429E-11
-3,8;-2,018637E-11
-3,75;-1,974394E-11
-3,7;-1,946587E-11
-3,65;-1,749347E-11
-3,6;-1,629221E-11
-3,55;-1,462011E-11
-3,5;-1,467943E-11
-3,45;-1,2534E-11
-3,4;-1,138096E-11
-3,35;-1,051462E-11
-3,3;-1,023039E-11
-3,25;-7,766108E-12
-3,2;-6,47959E-12
-3,15;-4,842094E-12
-3,1;-5,383398E-12
-3,05;-2,367928E-12
-3;-1,705514E-12
-2,95;3,447544E-13
-2,9;1,093674E-12
-2,85;2,308507E-12
-2,8;4,654135E-12
-2,75;5,430244E-12
-2,7;5,602027E-12
-2,65;6,740239E-12
-2,6;8,884429E-12
-2,55;9,569076E-12
-2,5;9,99915E-12
-2,45;9,774227E-12
-2,4;1,228051E-11
-2,35;1,374622E-11
-2,3;1,455941E-11
-2,25;1,542451E-11
-2,2;1,898126E-11
-2,15;2,056684E-11
-2,1;2,089804E-11
-2,05;2,172358E-11
-2;2,395304E-11
-1,95;2,480329E-11
-1,9;2,435347E-11
-1,85;2,61788E-11
-1,8;2,858004E-11
-1,75;3,057716E-11
-1,7;3,166347E-11
-1,65;3,116294E-11
-1,6;3,315267E-11
-1,55;3,461094E-11
-1,5;3,632753E-11
-1,45;3,620393E-11
-1,4;3,73545E-11
-1,35;3,944679E-11
-1,3;3,964329E-11
-1,25;4,200371E-11
-1,2;4,248571E-11
-1,15;4,461386E-11
-1,1;4,596959E-11
-1,05;4,624146E-11
-1;4,933968E-11
-0,95;5,122188E-11
-0,9;5,350698E-11
-0,85;5,338956E-11
-0,8;5,449688E-11
-0,75;5,812279E-11
-0,7;6,041656E-11
-0,65;6,187607E-11
-0,6;6,316265E-11
-0,55;6,669219E-11
-0,5;7,037248E-11
-0,45;7,263778E-11
-0,4;7,509467E-11
-0,35;7,961782E-11
-0,3;8,259496E-11
-0,25;8,675114E-11
-0,2;9,163022E-11
-0,15;9,828897E-11
-0,1;1,096637E-10
-0,05;1,191092E-10
0;1,321819E-10
0,05;1,408414E-10
0,1;1,545123E-10
0,15;1,674862E-10
0,2;1,806516E-10
0,25;1,928605E-10
0,3;2,069936E-10
0,35;2,194064E-10
