Tensao [V];Corrente [A]
-10;-2,398728E-10
-9,95;-2,224138E-10
-9,9;-2,145562E-10
-9,85;-2,085919E-10
-9,8;-2,054206E-10
-9,75;-2,01603E-10
-9,7;-1,963532E-10
-9,65;-1,944314E-10
-9,6;-1,92097E-10
-9,55;-1,891544E-10
-9,5;-1,855345E-10
-9,45;-1,835941E-10
-9,4;-1,828513E-10
-9,35;-1,81104E-10
-9,3;-1,771886E-10
-9,25;-1,747133E-10
-9,2;-1,737048E-10
-9,15;-1,728372E-10
-9,1;-1,691099E-10
-9,05;-1,653047E-10
-9;-1,6571E-10
-8,95;-1,637463E-10
-8,9;-1,616218E-10
-8,85;-1,590204E-10
-8,8;-1,584445E-10
-8,75;-1,573593E-10
-8,7;-1,552004E-10
-8,65;-1,522676E-10
-8,6;-1,508958E-10
-8,55;-1,505622E-10
-8,5;-1,501976E-10
-8,45;-1,476343E-10
-8,4;-1,468792E-10
-8,35;-1,456868E-10
-8,3;-1,426884E-10
-8,25;-1,405147E-10
-8,2;-1,380627E-10
-8,15;-1,377352E-10
-8,1;-1,398286E-10
-8,05;-1,357233E-10
-8;-1,352424E-10
-7,95;-1,310936E-10
-7,9;-1,312693E-10
-7,85;-1,293696E-10
-7,8;-1,273429E-10
-7,75;-1,268461E-10
-7,7;-1,24184E-10
-7,65;-1,21674E-10
-7,6;-1,22649E-10
-7,55;-1,203578E-10
-7,5;-1,20223E-10
-7,45;-1,181567E-10
-7,4;-1,139399E-10
-7,35;-1,131873E-10
-7,3;-1,122678E-10
-7,25;-1,110913E-10
-7,2;-1,106428E-10
-7,15;-1,097034E-10
-7,1;-1,103659E-10
-7,05;-1,071564E-10
-7;-1,049071E-10
-6,95;-1,023834E-10
-6,9;-1,025639E-10
-6,85;-9,782312E-11
-6,8;-9,780342E-11
-6,75;-9,871548E-11
-6,7;-9,770578E-11
-6,65;-9,494001E-11
-6,6;-9,459139E-11
-6,55;-9,242243E-11
-6,5;-9,16253E-11
-6,45;-9,122118E-11
-6,4;-8,739497E-11
-6,35;-8,773735E-11
-6,3;-8,737634E-11
-6,25;-8,616532E-11
-6,2;-8,320663E-11
-6,15;-8,354157E-11
-6,1;-8,330064E-11
-6,05;-7,982413E-11
-6;-7,935571E-11
-5,95;-7,824472E-11
-5,9;-7,627844E-11
-5,85;-7,576919E-11
-5,8;-7,536263E-11
-5,75;-7,324936E-11
-5,7;-7,246335E-11
-5,65;-7,002253E-11
-5,6;-7,012386E-11
-5,55;-6,705277E-11
-5,5;-6,643483E-11
-5,45;-6,413986E-11
-5,4;-6,645464E-11
-5,35;-6,365416E-11
-5,3;-6,329575E-11
-5,25;-6,096496E-11
-5,2;-5,970926E-11
-5,15;-5,481527E-11
-5,1;-5,607957E-11
-5,05;-5,645775E-11
-5;-5,34151E-11
-4,95;-5,181838E-11
-4,9;-5,16688E-11
-4,85;-5,060473E-11
-4,8;-4,971613E-11
-4,75;-4,651032E-11
-4,7;-4,664009E-11
-4,65;-4,649794E-11
-4,6;-4,485307E-11
-4,55;-4,330698E-11
-4,5;-4,160272E-11
-4,45;-4,272738E-11
-4,4;-4,301284E-11
-4,35;-4,007399E-11
-4,3;-4,005421E-11
-4,25;-3,843396E-11
-4,2;-3,684098E-11
-4,15;-3,559646E-11
-4,1;-3,234492E-11
-4,05;-3,213236E-11
-4;-3,137848E-11
-3,95;-2,944684E-11
-3,9;-2,672547E-11
-3,85;-2,479012E-11
-3,8;-2,593083E-11
-3,75;-2,331079E-11
-3,7;-2,106648E-11
-3,65;-2,164858E-11
-3,6;-2,050788E-11
-3,55;-1,95884E-11
-3,5;-1,920281E-11
-3,45;-1,589193E-11
-3,4;-1,485383E-11
-3,35;-1,189147E-11
-3,3;-1,06964E-11
-3,25;-1,085458E-11
-3,2;-9,835E-12
-3,15;-8,989668E-12
-3,1;-7,365759E-12
-3,05;-5,1338E-12
-3;-2,124485E-12
-2,95;1,290185E-12
-2,9;-6,451634E-13
-2,85;-2,657555E-13
-2,8;2,690405E-12
-2,75;3,75942E-12
-2,7;4,692488E-12
-2,65;6,114952E-12
-2,6;7,001062E-12
-2,55;9,979463E-12
-2,5;1,350164E-11
-2,45;1,31655E-11
-2,4;1,432596E-11
-2,35;1,667161E-11
-2,3;1,793341E-11
-2,25;1,721044E-11
-2,2;1,996393E-11
-2,15;2,144201E-11
-2,1;2,332915E-11
-2,05;2,760273E-11
-2;2,866187E-11
-1,95;2,57712E-11
-1,9;2,874343E-11
-1,85;3,014982E-11
-1,8;3,392783E-11
-1,75;3,415151E-11
-1,7;3,80803E-11
-1,65;4,099195E-11
-1,6;4,151101E-11
-1,55;4,318314E-11
-1,5;4,514935E-11
-1,45;4,745056E-11
-1,4;5,061306E-11
-1,35;5,3594E-11
-1,3;5,437009E-11
-1,25;5,600263E-11
-1,2;5,747822E-11
-1,15;5,747206E-11
-1,1;6,060497E-11
-1,05;6,541365E-11
-1;6,452631E-11
-0,95;6,577829E-11
-0,9;6,977623E-11
-0,85;7,185617E-11
-0,8;7,522507E-11
-0,75;7,698991E-11
-0,7;8,06715E-11
-0,65;8,526889E-11
-0,6;9,395818E-11
-0,55;1,068802E-10
-0,5;1,279849E-10
-0,45;1,633687E-10
-0,4;2,231579E-10
-0,35;2,945633E-10
-0,3;3,989125E-10
-0,25;5,429004E-10
-0,2;7,286417E-10
-0,15;9,396349E-10
-0,1;1,1871E-09
-0,05;1,468097E-09
0;1,85261E-09
0,05;2,210607E-09
0,1;2,438923E-09
0,15;2,776316E-09
0,2;3,12311E-09
0,25;3,468338E-09
0,3;3,803506E-09
0,35;4,151793E-09
0,4;4,487277E-09
0,45;4,82561E-09
0,5;5,142775E-09
0,55;5,457296E-09
0,6;5,772344E-09
0,65;6,091128E-09
0,7;6,396396E-09
0,75;6,723791E-09
0,8;7,017085E-09
0,85;7,329908E-09
0,9;7,616784E-09
0,95;7,907289E-09
1;8,181546E-09
1,05;8,460109E-09
1,1;8,721442E-09
1,15;8,968889E-09
1,2;9,192871E-09
1,25;9,437841E-09
1,3;9,64479E-09
1,35;9,870198E-09
1,4;1,00722E-08
1,45;1,025829E-08
1,5;1,04449E-08
1,55;1,061477E-08
1,6;1,078932E-08
1,65;1,096915E-08
1,7;1,114392E-08
1,75;1,131239E-08
1,8;1,146718E-08
1,85;1,160829E-08
1,9;1,176356E-08
1,95;1,189522E-08
2;1,202864E-08
2,05;1,216068E-08
2,1;1,228359E-08
2,15;1,240184E-08
2,2;1,253181E-08
2,25;1,266103E-08
2,3;1,278136E-08
2,35;1,287817E-08
2,4;1,300679E-08
2,45;1,312311E-08
2,5;1,326396E-08
2,55;1,337708E-08
2,6;1,347872E-08
2,65;1,359578E-08
2,7;1,370536E-08
2,75;1,379722E-08
2,8;1,388719E-08
2,85;1,39766E-08
2,9;1,409764E-08
2,95;1,418609E-08
3;1,428153E-08
3,05;1,439552E-08
3,1;1,446812E-08
3,15;1,454695E-08
3,2;1,463649E-08
3,25;1,472769E-08
3,3;1,482844E-08
3,35;1,487821E-08
3,4;1,495411E-08
3,45;1,505318E-08
3,5;1,51257E-08
3,55;1,52015E-08
3,6;1,52956E-08
3,65;1,540403E-08
3,7;1,549142E-08
3,75;1,55389E-08
3,8;1,563883E-08
3,85;1,570202E-08
3,9;1,577288E-08
3,95;1,585511E-08
4;1,593365E-08
4,05;1,601609E-08
4,1;1,609469E-08
4,15;1,616494E-08
4,2;1,624689E-08
4,25;1,631992E-08
4,3;1,638671E-08
4,35;1,647844E-08
4,4;1,654959E-08
4,45;1,663174E-08
4,5;1,669522E-08
4,55;1,678342E-08
4,6;1,687779E-08
4,65;1,692399E-08
4,7;1,69975E-08
4,75;1,706014E-08
4,8;1,712075E-08
4,85;1,719578E-08
4,9;1,724977E-08
4,95;1,73174E-08
5;1,73885E-08
5,05;1,74538E-08
5,1;1,754439E-08
5,15;1,757914E-08
5,2;1,762323E-08
5,25;1,767948E-08
5,3;1,772347E-08
5,35;1,779618E-08
5,4;1,781331E-08
5,45;1,784839E-08
5,5;1,793087E-08
5,55;1,79977E-08
5,6;1,804723E-08
5,65;1,806369E-08
5,7;1,812374E-08
5,75;1,818822E-08
5,8;1,824943E-08
5,85;1,832285E-08
5,9;1,836695E-08
5,95;1,840222E-08
6;1,846665E-08
6,05;1,848104E-08
6,1;1,853693E-08
6,15;1,856325E-08
6,2;1,859928E-08
6,25;1,866487E-08
6,3;1,868511E-08
6,35;1,875718E-08
6,4;1,878534E-08
6,45;1,881478E-08
6,5;1,887228E-08
6,55;1,888883E-08
6,6;1,892249E-08
6,65;1,899117E-08
6,7;1,903416E-08
6,75;1,908519E-08
6,8;1,911459E-08
6,85;1,915164E-08
6,9;1,919435E-08
6,95;1,921775E-08
7;1,926224E-08
7,05;1,929655E-08
7,1;1,93201E-08
7,15;1,935981E-08
7,2;1,93962E-08
7,25;1,944868E-08
7,3;1,949772E-08
7,35;1,951504E-08
7,4;1,956259E-08
7,45;1,957769E-08
7,5;1,96564E-08
7,55;1,975673E-08
7,6;1,977484E-08
7,65;1,97737E-08
7,7;1,979512E-08
7,75;1,984456E-08
7,8;1,985894E-08
7,85;1,989598E-08
7,9;1,993225E-08
7,95;1,99623E-08
8;2,001082E-08
8,05;2,003817E-08
8,1;2,009458E-08
8,15;2,011628E-08
8,2;2,021907E-08
8,25;2,021439E-08
8,3;2,026747E-08
8,35;2,027648E-08
8,4;2,030918E-08
8,45;2,038116E-08
8,5;2,038369E-08
8,55;2,039937E-08
8,6;2,046454E-08
8,65;2,048134E-08
8,7;2,049271E-08
8,75;2,054248E-08
8,8;2,058728E-08
8,85;2,057566E-08
8,9;2,058203E-08
8,95;2,05981E-08
9;2,064899E-08
9,05;2,067208E-08
9,1;2,067995E-08
9,15;2,069409E-08
9,2;2,070949E-08
9,25;2,070451E-08
9,3;2,076609E-08
9,35;2,07927E-08
9,4;2,080159E-08
9,45;2,090488E-08
9,5;2,090544E-08
9,55;2,09489E-08
9,6;2,095949E-08
9,65;2,094988E-08
9,7;2,101967E-08
9,75;2,104476E-08
9,8;2,100811E-08
9,85;2,11289E-08
9,9;2,113881E-08
9,95;2,114321E-08
10;2,114383E-08
