Tensao [V];Corrente [A]
-10;-2,9152E-10
-9,95;-2,764741E-10
-9,9;-2,658234E-10
-9,85;-2,597429E-10
-9,8;-2,539168E-10
-9,75;-2,500669E-10
-9,7;-2,4959E-10
-9,65;-2,44514E-10
-9,6;-2,415529E-10
-9,55;-2,37629E-10
-9,5;-2,366676E-10
-9,45;-2,31294E-10
-9,4;-2,281868E-10
-9,35;-2,276492E-10
-9,3;-2,273193E-10
-9,25;-2,231755E-10
-9,2;-2,218456E-10
-9,15;-2,187942E-10
-9,1;-2,17625E-10
-9,05;-2,155178E-10
-9;-2,125627E-10
-8,95;-2,105781E-10
-8,9;-2,049264E-10
-8,85;-2,049757E-10
-8,8;-2,050363E-10
-8,75;-2,022111E-10
-8,7;-2,018736E-10
-8,65;-2,00566E-10
-8,6;-1,964014E-10
-8,55;-1,968189E-10
-8,5;-1,939441E-10
-8,45;-1,918248E-10
-8,4;-1,92712E-10
-8,35;-1,894814E-10
-8,3;-1,915119E-10
-8,25;-1,874162E-10
-8,2;-1,84182E-10
-8,15;-1,81238E-10
-8,1;-1,798451E-10
-8,05;-1,79692E-10
-8;-1,775129E-10
-7,95;-1,743391E-10
-7,9;-1,752786E-10
-7,85;-1,734075E-10
-7,8;-1,707998E-10
-7,75;-1,686442E-10
-7,7;-1,651888E-10
-7,65;-1,67338E-10
-7,6;-1,647104E-10
-7,55;-1,622584E-10
-7,5;-1,597163E-10
-7,45;-1,601241E-10
-7,4;-1,565017E-10
-7,35;-1,556639E-10
-7,3;-1,563114E-10
-7,25;-1,521909E-10
-7,2;-1,5161E-10
-7,15;-1,453973E-10
-7,1;-1,450573E-10
-7,05;-1,475688E-10
-7;-1,463205E-10
-6,95;-1,41964E-10
-6,9;-1,387273E-10
-6,85;-1,385702E-10
-6,8;-1,369289E-10
-6,75;-1,358241E-10
-6,7;-1,350751E-10
-6,65;-1,356227E-10
-6,6;-1,310017E-10
-6,55;-1,291614E-10
-6,5;-1,287634E-10
-6,45;-1,266736E-10
-6,4;-1,252349E-10
-6,35;-1,292924E-10
-6,3;-1,24884E-10
-6,25;-1,258738E-10
-6,2;-1,200998E-10
-6,15;-1,212876E-10
-6,1;-1,201283E-10
-6,05;-1,19692E-10
-6;-1,177616E-10
-5,95;-1,151909E-10
-5,9;-1,140465E-10
-5,85;-1,144593E-10
-5,8;-1,127129E-10
-5,75;-1,070749E-10
-5,7;-1,04587E-10
-5,65;-1,021387E-10
-5,6;-1,035636E-10
-5,55;-1,017024E-10
-5,5;-9,966702E-11
-5,45;-1,020287E-10
-5,4;-9,958283E-11
-5,35;-9,957551E-11
-5,3;-9,484696E-11
-5,25;-9,73113E-11
-5,2;-9,570467E-11
-5,15;-9,360121E-11
-5,1;-9,332437E-11
-5,05;-9,078338E-11
-5;-8,921502E-11
-4,95;-9,126781E-11
-4,9;-8,289353E-11
-4,85;-8,521321E-11
-4,8;-8,356087E-11
-4,75;-8,368072E-11
-4,7;-8,190604E-11
-4,65;-7,870626E-11
-4,6;-7,825395E-11
-4,55;-7,568948E-11
-4,5;-7,449683E-11
-4,45;-7,262323E-11
-4,4;-7,180635E-11
-4,35;-7,120692E-11
-4,3;-6,782556E-11
-4,25;-6,715935E-11
-4,2;-6,729901E-11
-4,15;-6,62362E-11
-4,1;-6,495213E-11
-4,05;-6,308837E-11
-4;-6,146692E-11
-3,95;-6,003576E-11
-3,9;-5,640469E-11
-3,85;-5,74379E-11
-3,8;-5,60426E-11
-3,75;-5,500198E-11
-3,7;-5,229414E-11
-3,65;-4,893009E-11
-3,6;-4,826269E-11
-3,55;-4,91377E-11
-3,5;-4,428806E-11
-3,45;-4,411875E-11
-3,4;-4,127497E-11
-3,35;-3,972765E-11
-3,3;-3,499419E-11
-3,25;-3,460121E-11
-3,2;-3,238892E-11
-3,15;-3,167337E-11
-3,1;-2,631828E-11
-3,05;-2,805718E-11
-3;-2,489205E-11
-2,95;-2,533202E-11
-2,9;-2,387492E-11
-2,85;-2,087913E-11
-2,8;-2,035387E-11
-2,75;-1,648678E-11
-2,7;-1,44451E-11
-2,65;-9,892085E-12
-2,6;-6,399473E-12
-2,55;-5,743216E-12
-2,5;-6,655294E-12
-2,45;-4,60867E-12
-2,4;-1,598048E-12
-2,35;3,991438E-13
-2,3;2,103425E-12
-2,25;5,942076E-12
-2,2;1,000813E-11
-2,15;1,143186E-11
-2,1;1,696983E-11
-2,05;1,973207E-11
-2;2,303432E-11
-1,95;2,574216E-11
-1,9;2,998493E-11
-1,85;3,399539E-11
-1,8;3,816029E-11
-1,75;4,117462E-11
-1,7;4,622937E-11
-1,65;5,341724E-11
-1,6;5,848065E-11
-1,55;6,733947E-11
-1,5;7,909643E-11
-1,45;9,732817E-11
-1,4;1,171159E-10
-1,35;1,45268E-10
-1,3;1,762776E-10
-1,25;2,155379E-10
-1,2;2,658962E-10
-1,15;3,22443E-10
-1,1;3,902224E-10
-1,05;4,641037E-10
-1;5,525065E-10
-0,95;6,482302E-10
-0,9;7,568849E-10
-0,85;8,742568E-10
-0,8;1,011144E-09
-0,75;1,1425E-09
-0,7;1,304922E-09
-0,65;1,471606E-09
-0,6;1,664378E-09
-0,55;1,863198E-09
-0,5;2,073034E-09
-0,45;2,336434E-09
-0,4;2,555963E-09
-0,35;2,830945E-09
-0,3;3,146367E-09
-0,25;3,459526E-09
-0,2;3,809151E-09
-0,15;4,172893E-09
-0,1;4,567774E-09
-0,05;4,981877E-09
0;5,535983E-09
0,05;5,919767E-09
0,1;6,403098E-09
0,15;6,935347E-09
0,2;7,467801E-09
0,25;8,008741E-09
0,3;8,544323E-09
0,35;9,101557E-09
0,4;9,65149E-09
0,45;1,023776E-08
0,5;1,075792E-08
0,55;1,130667E-08
0,6;1,183445E-08
0,65;1,236843E-08
0,7;1,287295E-08
0,75;1,338618E-08
0,8;1,386444E-08
0,85;1,436368E-08
0,9;1,485536E-08
0,95;1,536456E-08
1;1,583688E-08
1,05;1,627322E-08
1,1;1,667177E-08
1,15;1,715418E-08
1,2;1,759924E-08
1,25;1,80039E-08
1,3;1,839278E-08
1,35;1,875486E-08
1,4;1,910679E-08
1,45;1,946556E-08
1,5;1,981377E-08
1,55;2,016471E-08
1,6;2,049963E-08
1,65;2,083909E-08
1,7;2,126626E-08
1,75;2,149306E-08
