Tensao [V];Corrente [A]
-10;-2,435667E-10
-9,95;-2,358842E-10
-9,9;-2,339092E-10
-9,85;-2,322876E-10
-9,8;-2,266751E-10
-9,75;-2,250387E-10
-9,7;-2,245049E-10
-9,65;-2,237905E-10
-9,6;-2,207821E-10
-9,55;-2,180877E-10
-9,5;-2,168779E-10
-9,45;-2,182522E-10
-9,4;-2,144097E-10
-9,35;-2,119402E-10
-9,3;-2,108699E-10
-9,25;-2,10781E-10
-9,2;-2,072327E-10
-9,15;-2,041081E-10
-9,1;-2,036843E-10
-9,05;-2,032949E-10
-9;-2,01478E-10
-8,95;-1,994622E-10
-8,9;-1,970854E-10
-8,85;-1,976479E-10
-8,8;-1,947619E-10
-8,75;-1,923952E-10
-8,7;-1,903225E-10
-8,65;-1,909416E-10
-8,6;-1,907994E-10
-8,55;-1,871607E-10
-8,5;-1,853503E-10
-8,45;-1,849151E-10
-8,4;-1,844962E-10
-8,35;-1,819428E-10
-8,3;-1,788913E-10
-8,25;-1,790902E-10
-8,2;-1,802272E-10
-8,15;-1,759867E-10
-8,1;-1,739982E-10
-8,05;-1,720516E-10
-8;-1,727413E-10
-7,95;-1,699665E-10
-7,9;-1,667741E-10
-7,85;-1,658682E-10
-7,8;-1,6581E-10
-7,75;-1,653267E-10
-7,7;-1,620738E-10
-7,65;-1,604586E-10
-7,6;-1,601099E-10
-7,55;-1,600506E-10
-7,5;-1,55726E-10
-7,45;-1,534642E-10
-7,4;-1,530736E-10
-7,35;-1,541639E-10
-7,3;-1,521233E-10
-7,25;-1,488455E-10
-7,2;-1,494475E-10
-7,15;-1,495203E-10
-7,1;-1,468062E-10
-7,05;-1,43641E-10
-7;-1,420886E-10
-6,95;-1,427104E-10
-6,9;-1,403263E-10
-6,85;-1,369583E-10
-6,8;-1,363576E-10
-6,75;-1,374044E-10
-6,7;-1,361696E-10
-6,65;-1,330564E-10
-6,6;-1,306216E-10
-6,55;-1,310629E-10
-6,5;-1,289284E-10
-6,45;-1,261438E-10
-6,4;-1,241465E-10
-6,35;-1,233828E-10
-6,3;-1,233394E-10
-6,25;-1,205981E-10
-6,2;-1,183042E-10
-6,15;-1,175984E-10
-6,1;-1,180496E-10
-6,05;-1,160722E-10
-6;-1,114917E-10
-5,95;-1,109912E-10
-5,9;-1,117982E-10
-5,85;-1,097701E-10
-5,8;-1,065356E-10
-5,75;-1,053169E-10
-5,7;-1,052775E-10
-5,65;-1,045544E-10
-5,6;-9,892838E-11
-5,55;-9,840184E-11
-5,5;-9,780986E-11
-5,45;-9,763068E-11
-5,4;-9,401795E-11
-5,35;-9,242357E-11
-5,3;-9,189709E-11
-5,25;-9,289572E-11
-5,2;-8,929419E-11
-5,15;-8,660111E-11
-5,1;-8,514391E-11
-5,05;-8,671606E-11
-5;-8,469658E-11
-4,95;-8,073287E-11
-4,9;-8,070691E-11
-4,85;-8,219621E-11
-4,8;-7,972562E-11
-4,75;-7,600784E-11
-4,7;-7,444806E-11
-4,65;-7,534535E-11
-4,6;-7,335552E-11
-4,55;-7,043875E-11
-4,5;-6,893704E-11
-4,45;-6,928313E-11
-4,4;-6,893827E-11
-4,35;-6,519834E-11
-4,3;-6,289085E-11
-4,25;-6,256949E-11
-4,2;-6,115183E-11
-4,15;-5,835867E-11
-4,1;-5,580147E-11
-4,05;-5,557529E-11
-4;-5,580518E-11
-3,95;-5,292423E-11
-3,9;-4,977996E-11
-3,85;-4,871584E-11
-3,8;-4,99629E-11
-3,75;-4,783461E-11
-3,7;-4,437771E-11
-3,65;-4,430845E-11
-3,6;-4,501546E-11
-3,55;-4,354466E-11
-3,5;-4,053883E-11
-3,45;-3,888021E-11
-3,4;-3,845506E-11
-3,35;-3,860214E-11
-3,3;-3,307995E-11
-3,25;-3,257198E-11
-3,2;-3,208007E-11
-3,15;-3,198987E-11
-3,1;-2,89606E-11
-3,05;-2,707826E-11
-3;-2,538873E-11
-2,95;-2,647142E-11
-2,9;-2,306762E-11
-2,85;-1,960205E-11
-2,8;-1,836239E-11
-2,75;-1,971451E-11
-2,7;-1,794465E-11
-2,65;-1,380055E-11
-2,6;-1,30936E-11
-2,55;-1,402302E-11
-2,5;-1,229641E-11
-2,45;-9,472285E-12
-2,4;-7,913765E-12
-2,35;-8,431625E-12
-2,3;-8,746791E-12
-2,25;-4,014378E-12
-2,2;-3,110906E-12
-2,15;-2,927987E-12
-2,1;-1,991146E-12
-2,05;1,877338E-12
-2;3,859778E-12
-1,95;4,601338E-12
-1,9;4,942454E-12
-1,85;7,153542E-12
