Tensao [V];Corrente [A]
-10;-2,4031E-10
-9,95;-2,242588E-10
-9,9;-2,120499E-10
-9,85;-2,043479E-10
-9,8;-2,008147E-10
-9,75;-1,962457E-10
-9,7;-1,939395E-10
-9,65;-1,911306E-10
-9,6;-1,885378E-10
-9,55;-1,85715E-10
-9,5;-1,843309E-10
-9,45;-1,811399E-10
-9,4;-1,783804E-10
-9,35;-1,764548E-10
-9,3;-1,737224E-10
-9,25;-1,717636E-10
-9,2;-1,695735E-10
-9,15;-1,680399E-10
-9,1;-1,652593E-10
-9,05;-1,634709E-10
-9;-1,617408E-10
-8,95;-1,606792E-10
-8,9;-1,540229E-10
-8,85;-1,58488E-10
-8,8;-1,558816E-10
-8,75;-1,540105E-10
-8,7;-1,514882E-10
-8,65;-1,495714E-10
-8,6;-1,475532E-10
-8,55;-1,454684E-10
-8,5;-1,435539E-10
-8,45;-1,418338E-10
-8,4;-1,406041E-10
-8,35;-1,394313E-10
-8,3;-1,383881E-10
-8,25;-1,366605E-10
-8,2;-1,345015E-10
-8,15;-1,341121E-10
-8,1;-1,320284E-10
-8,05;-1,307457E-10
-8;-1,304675E-10
-7,95;-1,29778E-10
-7,9;-1,276833E-10
-7,85;-1,261274E-10
-7,8;-1,24145E-10
-7,75;-1,228893E-10
-7,7;-1,215632E-10
-7,65;-1,197924E-10
-7,6;-1,195661E-10
-7,55;-1,177148E-10
-7,5;-1,15829E-10
-7,45;-1,139566E-10
-7,4;-1,11716E-10
-7,35;-1,100353E-10
-7,3;-1,082731E-10
-7,25;-1,075513E-10
-7,2;-1,074671E-10
-7,15;-1,063759E-10
-7,1;-1,053859E-10
-7,05;-1,031602E-10
-7;-1,024261E-10
-6,95;-9,987907E-11
-6,9;-1,002511E-10
-6,85;-9,882985E-11
-6,8;-9,62506E-11
-6,75;-9,538918E-11
-6,7;-9,491948E-11
-6,65;-9,355398E-11
-6,6;-9,264813E-11
-6,55;-9,135907E-11
-6,5;-8,953498E-11
-6,45;-8,797042E-11
-6,4;-8,465584E-11
-6,35;-8,575584E-11
-6,3;-8,519467E-11
-6,25;-8,187766E-11
-6,2;-8,176274E-11
-6,15;-8,185541E-11
-6,1;-7,961606E-11
-6,05;-7,623718E-11
-6;-7,642391E-11
-5,95;-7,504584E-11
-5,9;-7,439583E-11
-5,85;-7,154593E-11
-5,8;-7,169668E-11
-5,75;-7,074014E-11
-5,7;-6,900994E-11
-5,65;-6,801633E-11
-5,6;-6,766789E-11
-5,55;-6,813991E-11
-5,5;-6,642582E-11
-5,45;-6,548535E-11
-5,4;-6,439905E-11
-5,35;-5,813445E-11
-5,3;-6,109435E-11
-5,25;-5,886364E-11
-5,2;-5,812336E-11
-5,15;-5,486196E-11
-5,1;-5,45715E-11
-5,05;-5,37163E-11
-5;-5,117416E-11
-4,95;-5,004337E-11
-4,9;-4,890885E-11
-4,85;-4,835147E-11
-4,8;-4,738257E-11
-4,75;-4,506906E-11
-4,7;-4,451295E-11
-4,65;-4,389249E-11
-4,6;-4,125275E-11
-4,55;-4,144183E-11
-4,5;-4,031226E-11
-4,45;-3,915425E-11
-4,4;-3,889104E-11
-4,35;-3,563577E-11
-4,3;-3,619192E-11
-4,25;-3,3043E-11
-4,2;-3,302939E-11
-4,15;-3,337667E-11
-4,1;-3,24152E-11
-4,05;-3,005964E-11
-4;-2,791914E-11
-3,95;-2,717888E-11
-3,9;-2,625073E-11
-3,85;-2,359615E-11
-3,8;-2,373827E-11
-3,75;-2,173496E-11
-3,7;-2,043856E-11
-3,65;-1,900619E-11
-3,6;-1,682245E-11
-3,55;-1,719938E-11
-3,5;-1,586218E-11
-3,45;-1,394662E-11
-3,4;-1,243641E-11
-3,35;-1,234743E-11
-3,3;-1,248585E-11
-3,25;-1,072353E-11
-3,2;-7,772318E-12
-3,15;-7,755009E-12
-3,1;-6,365913E-12
-3,05;-4,467646E-12
-3;-3,779277E-12
-2,95;-2,451974E-12
-2,9;-1,509021E-12
-2,85;-3,670936E-13
-2,8;1,487913E-12
-2,75;2,133026E-12
-2,7;4,523148E-12
-2,65;5,679904E-12
-2,6;7,80308E-12
-2,55;9,858296E-12
-2,5;9,567873E-12
-2,45;1,161444E-11
-2,4;1,363628E-11
-2,35;1,352505E-11
-2,3;1,620314E-11
-2,25;1,720169E-11
-2,2;1,962147E-11
-2,15;1,925567E-11
-2,1;1,989212E-11
-2,05;2,147277E-11
-2;2,394694E-11
-1,95;2,391359E-11
-1,9;2,457476E-11
-1,85;2,614674E-11
-1,8;3,129651E-11
-1,75;3,023124E-11
-1,7;3,183905E-11
-1,65;3,304893E-11
-1,6;3,26436E-11
-1,55;3,498183E-11
-1,5;3,605824E-11
-1,45;3,924426E-11
-1,4;4,077667E-11
-1,35;4,125742E-11
-1,3;4,36698E-11
-1,25;4,607229E-11
-1,2;4,591286E-11
-1,15;4,80867E-11
-1,1;4,839565E-11
-1,05;4,994916E-11
-1;5,284102E-11
-0,95;5,524597E-11
-0,9;5,590961E-11
