Tensao [V];Corrente [A]
-10;-2,709634E-10
-9,95;-2,544014E-10
-9,9;-2,472446E-10
-9,85;-2,412432E-10
-9,8;-2,362911E-10
-9,75;-2,308062E-10
-9,7;-2,281343E-10
-9,65;-2,219846E-10
-9,6;-2,192967E-10
-9,55;-2,189036E-10
-9,5;-2,158139E-10
-9,45;-2,12828E-10
-9,4;-2,086793E-10
-9,35;-2,069873E-10
-9,3;-2,039768E-10
-9,25;-2,016335E-10
-9,2;-2,001145E-10
-9,15;-1,980347E-10
-9,1;-1,954332E-10
-9,05;-1,953306E-10
-9;-1,922606E-10
-8,95;-1,906564E-10
-8,9;-1,891883E-10
-8,85;-1,866326E-10
-8,8;-1,854683E-10
-8,75;-1,831078E-10
-8,7;-1,80856E-10
-8,65;-1,818596E-10
-8,6;-1,786141E-10
-8,55;-1,774575E-10
-8,5;-1,73672E-10
-8,45;-1,731714E-10
-8,4;-1,710741E-10
-8,35;-1,676235E-10
-8,3;-1,66892E-10
-8,25;-1,659639E-10
-8,2;-1,635031E-10
-8,15;-1,628309E-10
-8,1;-1,585485E-10
-8,05;-1,570173E-10
-8;-1,579553E-10
-7,95;-1,556653E-10
-7,9;-1,53044E-10
-7,85;-1,512915E-10
-7,8;-1,511926E-10
-7,75;-1,497678E-10
-7,7;-1,479299E-10
-7,65;-1,464963E-10
-7,6;-1,427332E-10
-7,55;-1,430088E-10
-7,5;-1,38876E-10
-7,45;-1,390515E-10
-7,4;-1,386486E-10
-7,35;-1,381579E-10
-7,3;-1,365649E-10
-7,25;-1,337088E-10
-7,2;-1,317709E-10
-7,15;-1,315016E-10
-7,1;-1,276383E-10
-7,05;-1,27695E-10
-7;-1,25756E-10
-6,95;-1,193801E-10
-6,9;-1,232831E-10
-6,85;-1,198881E-10
-6,8;-1,189081E-10
-6,75;-1,192937E-10
-6,7;-1,14622E-10
-6,65;-1,168366E-10
-6,6;-1,170999E-10
-6,55;-1,111307E-10
-6,5;-1,145257E-10
-6,45;-1,123011E-10
-6,4;-1,110492E-10
-6,35;-1,105548E-10
-6,3;-1,096934E-10
-6,25;-1,078433E-10
-6,2;-1,060526E-10
-6,15;-1,035622E-10
