Tensao [V];Corrente [A]
-10;-1,667504E-10
-9,95;-1,586704E-10
-9,9;-1,569304E-10
-9,85;-1,533762E-10
-9,8;-1,518881E-10
-9,75;-1,508388E-10
-9,7;-1,492855E-10
-9,65;-1,460339E-10
-9,6;-1,452097E-10
-9,55;-1,450206E-10
-9,5;-1,429777E-10
-9,45;-1,409622E-10
-9,4;-1,398203E-10
-9,35;-1,385262E-10
-9,3;-1,380628E-10
-9,25;-1,355615E-10
-9,2;-1,340439E-10
-9,15;-1,34097E-10
-9,1;-1,323941E-10
-9,05;-1,301411E-10
-9;-1,290067E-10
-8,95;-1,280612E-10
-8,9;-1,276621E-10
-8,85;-1,238458E-10
-8,8;-1,234997E-10
-8,75;-1,226828E-10
-8,7;-1,218104E-10
-8,65;-1,203496E-10
-8,6;-1,194981E-10
-8,55;-1,184377E-10
-8,5;-1,180559E-10
-8,45;-1,156559E-10
-8,4;-1,141222E-10
-8,35;-1,149638E-10
-8,3;-1,129222E-10
-8,25;-1,113193E-10
-8,2;-1,088291E-10
-8,15;-1,093061E-10
-8,1;-1,074425E-10
-8,05;-1,061325E-10
-8;-1,053008E-10
-7,95;-1,032777E-10
-7,9;-1,035348E-10
-7,85;-1,02205E-10
-7,8;-1,00198E-10
-7,75;-9,960366E-11
-7,7;-9,810569E-11
-7,65;-9,688469E-11
-7,6;-9,590224E-11
-7,55;-9,439329E-11
-7,5;-9,482585E-11
-7,45;-9,308458E-11
-7,4;-9,09391E-11
-7,35;-9,132962E-11
-7,3;-8,926206E-11
-7,25;-8,84934E-11
-7,2;-8,737743E-11
-7,15;-8,683616E-11
-7,1;-8,651355E-11
-7,05;-8,490202E-11
-7;-8,31991E-11
-6,95;-8,330784E-11
-6,9;-8,149111E-11
-6,85;-7,928764E-11
-6,8;-7,737212E-11
-6,75;-7,826188E-11
-6,7;-7,856841E-11
-6,65;-7,604609E-11
-6,6;-7,502282E-11
-6,55;-7,537744E-11
-6,5;-7,175277E-11
-6,45;-7,176387E-11
-6,4;-6,941452E-11
-6,35;-6,975319E-11
-6,3;-6,846541E-11
-6,25;-6,655361E-11
-6,2;-6,604935E-11
-6,15;-6,539067E-11
-6,1;-6,452189E-11
-6,05;-6,395341E-11
-6;-6,186483E-11
-5,95;-6,206011E-11
-5,9;-5,984303E-11
-5,85;-5,988253E-11
-5,8;-5,887408E-11
-5,75;-5,737873E-11
-5,7;-5,748748E-11
-5,65;-5,556697E-11
-5,6;-5,349571E-11
-5,55;-5,428791E-11
-5,5;-5,185951E-11
-5,45;-5,13738E-11
-5,4;-5,225988E-11
-5,35;-5,135033E-11
-5,3;-5,041232E-11
-5,25;-4,910481E-11
-5,2;-4,679381E-11
-5,15;-4,584097E-11
-5,1;-4,515503E-11
-5,05;-4,496719E-11
-5;-4,263149E-11
-4,95;-4,314065E-11
-4,9;-4,228791E-11
-4,85;-4,043165E-11
-4,8;-3,880038E-11
-4,75;-3,640532E-11
-4,7;-3,703684E-11
-4,65;-3,577628E-11
-4,6;-3,436745E-11
-4,55;-3,476168E-11
-4,5;-3,45244E-11
-4,45;-3,265948E-11
-4,4;-3,077734E-11
-4,35;-2,982328E-11
-4,3;-2,987764E-11
-4,25;-2,770135E-11
-4,2;-2,646919E-11
-4,15;-2,658908E-11
-4,1;-2,558558E-11
-4,05;-2,477487E-11
-4;-2,213267E-11
-3,95;-2,266035E-11
-3,9;-2,181873E-11
-3,85;-2,004283E-11
-3,8;-1,944101E-11
-3,75;-2,081897E-11
-3,7;-1,904183E-11
-3,65;-1,836212E-11
-3,6;-1,571741E-11
-3,55;-1,39749E-11
-3,5;-1,33718E-11
-3,45;-1,248941E-11
-3,4;-1,134133E-11
-3,35;-1,096933E-11
-3,3;-1,0475E-11
-3,25;-9,006827E-12
-3,2;-7,679537E-12
-3,15;-6,692103E-12
-3,1;-6,158221E-12
-3,05;-4,801274E-12
-3;-4,194478E-12
-2,95;-2,680575E-12
-2,9;-2,282636E-12
-2,85;-1,066573E-12
-2,8;2,013953E-13
-2,75;3,348651E-13
-2,7;1,959983E-12
-2,65;2,617447E-12
-2,6;4,605903E-12
-2,55;5,360992E-12
-2,5;6,02464E-12
-2,45;5,860272E-12
-2,4;8,355408E-12
-2,35;7,657167E-12
-2,3;9,148828E-12
-2,25;9,771678E-12
-2,2;1,332222E-11
-2,15;1,295271E-11
