Tensao [V];Corrente [A]
-10;-2,093503E-10
-9,95;-1,995919E-10
-9,9;-1,970586E-10
-9,85;-1,943828E-10
-9,8;-1,926612E-10
-9,75;-1,902502E-10
-9,7;-1,87996E-10
-9,65;-1,85491E-10
-9,6;-1,839894E-10
-9,55;-1,808949E-10
-9,5;-1,791461E-10
-9,45;-1,790943E-10
-9,4;-1,772169E-10
-9,35;-1,758588E-10
-9,3;-1,734526E-10
-9,25;-1,71264E-10
-9,2;-1,712935E-10
-9,15;-1,686218E-10
-9,1;-1,660004E-10
-9,05;-1,647176E-10
-9;-1,630194E-10
-8,95;-1,61398E-10
-8,9;-1,590772E-10
-8,85;-1,581416E-10
-8,8;-1,570083E-10
-8,75;-1,550249E-10
-8,7;-1,531833E-10
-8,65;-1,503743E-10
-8,6;-1,486948E-10
-8,55;-1,496539E-10
-8,5;-1,466557E-10
-8,45;-1,44221E-10
-8,4;-1,427306E-10
-8,35;-1,420571E-10
-8,3;-1,398277E-10
-8,25;-1,379355E-10
-8,2;-1,367379E-10
-8,15;-1,355948E-10
-8,1;-1,330218E-10
-8,05;-1,312001E-10
-8;-1,301794E-10
-7,95;-1,302164E-10
-7,9;-1,287346E-10
-7,85;-1,263346E-10
-7,8;-1,253855E-10
-7,75;-1,231795E-10
-7,7;-1,217186E-10
-7,65;-1,209142E-10
-7,6;-1,191742E-10
-7,55;-1,185105E-10
-7,5;-1,153973E-10
-7,45;-1,135386E-10
-7,4;-1,117182E-10
-7,35;-1,121162E-10
-7,3;-1,108087E-10
-7,25;-1,076251E-10
-7,2;-1,071456E-10
-7,15;-1,064066E-10
-7,1;-1,03883E-10
-7,05;-1,022455E-10
-7;-9,988253E-11
-6,95;-9,968847E-11
-6,9;-9,89655E-11
-6,85;-9,612432E-11
-6,8;-9,574981E-11
-6,75;-9,583386E-11
-6,7;-9,3461E-11
-6,65;-9,215841E-11
-6,6;-9,063342E-11
-6,55;-8,904286E-11
-6,5;-8,794179E-11
-6,45;-8,624249E-11
-6,4;-8,527972E-11
-6,35;-8,496827E-11
-6,3;-8,79776E-11
