Tensao [V];Corrente [A]
-10;-2,286663E-10
-9,95;-2,174427E-10
-9,9;-2,139872E-10
-9,85;-2,126807E-10
-9,8;-2,117884E-10
-9,75;-2,086492E-10
-9,7;-2,053864E-10
-9,65;-2,054691E-10
-9,6;-2,053912E-10
-9,55;-2,024164E-10
-9,5;-2,002264E-10
-9,45;-1,993231E-10
-9,4;-1,992229E-10
-9,35;-1,969895E-10
-9,3;-1,936278E-10
-9,25;-1,920791E-10
-9,2;-1,925575E-10
-9,15;-1,904798E-10
-9,1;-1,892945E-10
-9,05;-1,865088E-10
-9;-1,869464E-10
-8,95;-1,847959E-10
-8,9;-1,81868E-10
-8,85;-1,801662E-10
-8,8;-1,799683E-10
-8,75;-1,800709E-10
-8,7;-1,772529E-10
-8,65;-1,754138E-10
-8,6;-1,74943E-10
-8,55;-1,742052E-10
-8,5;-1,721857E-10
-8,45;-1,702243E-10
-8,4;-1,69327E-10
-8,35;-1,697089E-10
-8,3;-1,664906E-10
-8,25;-1,652162E-10
-8,2;-1,639088E-10
-8,15;-1,642955E-10
-8,1;-1,621165E-10
-8,05;-1,587969E-10
-8;-1,585966E-10
-7,95;-1,599969E-10
-7,9;-1,573842E-10
-7,85;-1,545414E-10
-7,8;-1,537938E-10
-7,75;-1,533093E-10
-7,7;-1,531029E-10
-7,65;-1,488439E-10
-7,6;-1,477501E-10
-7,55;-1,472384E-10
-7,5;-1,47367E-10
-7,45;-1,450793E-10
-7,4;-1,422156E-10
-7,35;-1,427459E-10
-7,3;-1,42626E-10
-7,25;-1,39195E-10
-7,2;-1,376811E-10
-7,15;-1,373893E-10
-7,1;-1,369703E-10
-7,05;-1,337125E-10
-7;-1,324605E-10
-6,95;-1,321144E-10
-6,9;-1,319983E-10
-6,85;-1,296499E-10
-6,8;-1,277442E-10
-6,75;-1,263241E-10
-6,7;-1,272275E-10
-6,65;-1,240302E-10
-6,6;-1,22337E-10
-6,55;-1,211172E-10
-6,5;-1,223358E-10
-6,45;-1,214855E-10
-6,4;-1,192125E-10
-6,35;-1,174428E-10
-6,3;-1,177035E-10
-6,25;-1,171041E-10
-6,2;-1,145124E-10
-6,15;-1,122864E-10
-6,1;-1,126894E-10
-6,05;-1,131047E-10
-6;-1,092374E-10
-5,95;-1,077654E-10
-5,9;-1,076319E-10
-5,85;-1,077901E-10
-5,8;-1,058449E-10
-5,75;-1,029515E-10
-5,7;-1,024238E-10
-5,65;-1,030701E-10
-5,6;-1,009691E-10
-5,55;-9,838477E-11
-5,5;-9,829691E-11
-5,45;-9,763085E-11
-5,4;-9,611559E-11
-5,35;-9,29961E-11
-5,3;-9,157967E-11
-5,25;-9,144991E-11
-5,2;-9,099506E-11
-5,15;-8,764572E-11
-5,1;-8,618121E-11
-5,05;-8,707843E-11
-5;-8,753456E-11
-4,95;-8,390211E-11
-4,9;-8,310994E-11
-4,85;-8,220898E-11
-4,8;-8,224972E-11
-4,75;-7,854188E-11
-4,7;-7,735296E-11
-4,65;-7,7044E-11
-4,6;-7,875076E-11
-4,55;-7,424709E-11
-4,5;-7,245128E-11
-4,45;-6,477984E-11
-4,4;-6,818245E-11
-4,35;-6,713556E-11
-4,3;-6,487627E-11
-4,25;-6,638658E-11
-4,2;-6,662635E-11
-4,15;-6,56005E-11
-4,1;-6,231422E-11
-4,05;-6,053451E-11
-4;-6,452899E-11
-3,95;-6,057777E-11
-3,9;-5,745576E-11
-3,85;-5,466385E-11
-3,8;-5,544246E-11
-3,75;-5,625199E-11
-3,7;-5,457974E-11
-3,65;-5,239956E-11
-3,6;-5,072243E-11
-3,55;-5,190896E-11
-3,5;-4,685156E-11
-3,45;-4,186829E-11
-3,4;-4,521516E-11
-3,35;-4,759556E-11
-3,3;-4,580101E-11
-3,25;-4,781679E-11
-3,2;-4,663031E-11
-3,15;-4,325626E-11
-3,1;-4,196714E-11
-3,05;-3,826927E-11
-3;-3,934944E-11
-2,95;-3,752026E-11
-2,9;-3,492487E-11
-2,85;-3,245423E-11
-2,8;-3,084999E-11
-2,75;-3,11948E-11
-2,7;-3,07054E-11
-2,65;-2,774535E-11
-2,6;-2,66367E-11
-2,55;-2,597551E-11
-2,5;-2,408455E-11
-2,45;-2,134944E-11
-2,4;-2,099721E-11
-2,35;-1,992936E-11
-2,3;-1,99825E-11
-2,25;-1,672459E-11
-2,2;-1,386837E-11
-2,15;-1,271772E-11
-2,1;-1,271773E-11
-2,05;-1,054373E-11
-2;-7,974248E-12
-1,95;-8,551429E-12
-1,9;-7,791325E-12
-1,85;-5,650702E-12
-1,8;-3,141772E-12
-1,75;-1,090134E-12
-1,7;-1,187773E-12
-1,65;1,726534E-12
-1,6;3,444466E-12
-1,55;5,093188E-12
-1,5;4,834875E-12
-1,45;5,351493E-12
-1,4;1,048551E-11
-1,35;1,151009E-11
-1,3;1,064618E-11
-1,25;1,102684E-11
-1,2;1,386946E-11
-1,15;1,627705E-11
-1,1;1,703713E-11
-1,05;1,710139E-11
-1;2,093646E-11
-0,95;2,302022E-11
-0,9;2,33836E-11
-0,85;2,323528E-11
-0,8;2,55514E-11
-0,75;3,006868E-11
-0,7;3,022565E-11
-0,65;3,020216E-11
-0,6;3,283963E-11
-0,55;3,603818E-11
-0,5;3,762264E-11
-0,45;3,876832E-11
-0,4;4,118331E-11
-0,35;4,554616E-11
-0,3;4,780291E-11
-0,25;4,945041E-11
-0,2;5,203469E-11
-0,15;5,651495E-11
-0,1;5,980372E-11
-0,05;6,145615E-11
0;6,502671E-11
0,05;6,548406E-11
0,1;6,875545E-11
0,15;7,247435E-11
0,2;7,431832E-11
0,25;7,567667E-11
0,3;7,840188E-11
0,35;8,23827E-11
0,4;8,510798E-11
0,45;8,617831E-11
0,5;9,004054E-11
0,55;9,361112E-11
0,6;9,642283E-11
0,65;9,763401E-11
0,7;1,002603E-10
0,75;1,043648E-10
0,8;1,078205E-10
0,85;1,098437E-10
0,9;1,115283E-10
0,95;1,166881E-10
1;1,199239E-10
1,05;1,229061E-10
1,1;1,248762E-10
1,15;1,279276E-10
1,2;1,326414E-10
1,25;1,341815E-10
1,3;1,362565E-10
1,35;1,396899E-10
1,4;1,437091E-10
1,45;1,454752E-10
1,5;1,461179E-10
1,55;1,488555E-10
1,6;1,527425E-10
1,65;1,54668E-10
1,7;1,556012E-10
1,75;1,574612E-10
1,8;1,612555E-10
1,85;1,642378E-10
1,9;1,653972E-10
1,95;1,673066E-10
2;1,710403E-10
2,05;1,729029E-10
2,1;1,749346E-10
2,15;1,748283E-10
2,2;1,789401E-10
2,25;1,80757E-10
2,3;1,824528E-10
