Tensao [V];Corrente [A]
-10;-2,337778E-10
-9,95;-2,202725E-10
-9,9;-2,138706E-10
-9,85;-2,074962E-10
-9,8;-2,041632E-10
-9,75;-1,98975E-10
-9,7;-1,966862E-10
-9,65;-1,942836E-10
-9,6;-1,94107E-10
-9,55;-1,91388E-10
-9,5;-1,881081E-10
-9,45;-1,86478E-10
-9,4;-1,824775E-10
-9,35;-1,804161E-10
-9,3;-1,796932E-10
-9,25;-1,772809E-10
-9,2;-1,745646E-10
-9,15;-1,725313E-10
-9,1;-1,70166E-10
-9,05;-1,703563E-10
-9;-1,681354E-10
-8,95;-1,649235E-10
-8,9;-1,63202E-10
-8,85;-1,605572E-10
-8,8;-1,549391E-10
-8,75;-1,571673E-10
-8,7;-1,57962E-10
-8,65;-1,559389E-10
-8,6;-1,515899E-10
-8,55;-1,508175E-10
-8,5;-1,488202E-10
-8,45;-1,475794E-10
-8,4;-1,471642E-10
-8,35;-1,461868E-10
-8,3;-1,456812E-10
-8,25;-1,435457E-10
-8,2;-1,423122E-10
-8,15;-1,417895E-10
-8,1;-1,372787E-10
-8,05;-1,376234E-10
-8;-1,361244E-10
-7,95;-1,351728E-10
-7,9;-1,342051E-10
-7,85;-1,333636E-10
-7,8;-1,319212E-10
-7,75;-1,301589E-10
-7,7;-1,284658E-10
-7,65;-1,274783E-10
-7,6;-1,238054E-10
-7,55;-1,236299E-10
-7,5;-1,234285E-10
-7,45;-1,209444E-10
-7,4;-1,187928E-10
-7,35;-1,163989E-10
-7,3;-1,161592E-10
-7,25;-1,154003E-10
-7,2;-1,111119E-10
-7,15;-1,129336E-10
-7,1;-1,112195E-10
-7,05;-1,10075E-10
-7;-1,097909E-10
-6,95;-1,087515E-10
-6,9;-1,084314E-10
-6,85;-1,063971E-10
-6,8;-1,043358E-10
-6,75;-1,052602E-10
-6,7;-1,000919E-10
-6,65;-9,949613E-11
-6,6;-9,913654E-11
-6,55;-9,749276E-11
-6,5;-9,633726E-11
-6,45;-9,56613E-11
-6,4;-9,363451E-11
-6,35;-9,286709E-11
-6,3;-9,017168E-11
-6,25;-8,926945E-11
-6,2;-8,930411E-11
-6,15;-8,761097E-11
-6,1;-8,516032E-11
-6,05;-8,154163E-11
-6;-8,327933E-11
-5,95;-7,891796E-11
-5,9;-8,102758E-11
-5,85;-7,964585E-11
-5,8;-7,759559E-11
-5,75;-7,788102E-11
-5,7;-7,718772E-11
-5,65;-7,443923E-11
-5,6;-7,333068E-11
-5,55;-6,98604E-11
-5,5;-7,155472E-11
-5,45;-6,976027E-11
-5,4;-6,836377E-11
-5,35;-6,821796E-11
-5,3;-6,650387E-11
-5,25;-6,45079E-11
-5,2;-6,440531E-11
-5,15;-6,062362E-11
-5,1;-6,263682E-11
-5,05;-5,977335E-11
-5;-5,830637E-11
-4,95;-5,835705E-11
-4,9;-5,564932E-11
-4,85;-4,900287E-11
-4,8;-5,163892E-11
-4,75;-5,623389E-11
-4,7;-5,330987E-11
-4,65;-4,840107E-11
-4,6;-4,806732E-11
-4,55;-4,493939E-11
-4,5;-4,845785E-11
-4,45;-4,67561E-11
-4,4;-4,576E-11
-4,35;-4,298676E-11
-4,3;-4,270868E-11
-4,25;-4,026043E-11
-4,2;-3,891585E-11
-4,15;-3,538995E-11
-4,1;-3,587812E-11
-4,05;-3,332482E-11
-4;-3,429374E-11
-3,95;-3,316665E-11
-3,9;-3,43679E-11
-3,85;-3,171331E-11
-3,8;-2,92663E-11
-3,75;-2,654248E-11
-3,7;-2,768317E-11
-3,65;-2,431671E-11
-3,6;-2,250495E-11
-3,55;-2,499395E-11
-3,5;-2,148784E-11
-3,45;-2,160894E-11
-3,4;-1,938194E-11
-3,35;-1,813866E-11
-3,3;-1,860706E-11
-3,25;-1,728345E-11
-3,2;-1,573617E-11
-3,15;-1,49514E-11
-3,1;-1,249947E-11
-3,05;-1,221522E-11
-3;-9,94248E-12
-2,95;-9,025493E-12
-2,9;-7,144521E-12
-2,85;-5,823392E-12
-2,8;-4,457767E-12
-2,75;-2,092346E-12
-2,7;-6,612274E-13
-2,65;-3,584432E-13
-2,6;3,665482E-12
-2,55;4,657868E-12
-2,5;5,516784E-12
-2,45;7,444708E-12
-2,4;9,315784E-12
-2,35;1,107439E-11
-2,3;1,33743E-11
-2,25;1,66048E-11
-2,2;1,704972E-11
-2,15;1,801245E-11
-2,1;2,088581E-11
-2,05;2,040136E-11
-2;2,209816E-11
-1,95;2,482568E-11
-1,9;2,654105E-11
-1,85;2,729121E-11
