Tensao [V];Corrente [A]
-10;-1,877498E-10
-9,95;-1,812914E-10
-9,9;-1,778817E-10
-9,85;-1,748142E-10
-9,8;-1,725243E-10
-9,75;-1,720706E-10
-9,7;-1,6961E-10
-9,65;-1,684593E-10
-9,6;-1,668962E-10
-9,55;-1,650115E-10
-9,5;-1,643195E-10
-9,45;-1,619293E-10
-9,4;-1,607936E-10
-9,35;-1,599371E-10
-9,3;-1,578943E-10
-9,25;-1,564026E-10
-9,2;-1,553632E-10
-9,15;-1,533488E-10
-9,1;-1,534353E-10
-9,05;-1,501356E-10
-9;-1,487885E-10
-8,95;-1,479901E-10
-8,9;-1,466122E-10
-8,85;-1,456433E-10
-8,8;-1,430085E-10
-8,75;-1,433471E-10
-8,7;-1,431271E-10
-8,65;-1,404774E-10
-8,6;-1,390883E-10
-8,55;-1,378118E-10
-8,5;-1,369022E-10
-8,45;-1,37766E-10
-8,4;-1,338373E-10
-8,35;-1,329017E-10
-8,3;-1,324283E-10
-8,25;-1,296552E-10
-8,2;-1,284293E-10
-8,15;-1,274455E-10
-8,1;-1,266682E-10
-8,05;-1,245585E-10
-8;-1,23597E-10
-7,95;-1,227542E-10
-7,9;-1,221869E-10
-7,85;-1,199142E-10
-7,8;-1,176168E-10
-7,75;-1,172918E-10
-7,7;-1,163773E-10
-7,65;-1,139377E-10
-7,6;-1,131826E-10
-7,55;-1,120431E-10
-7,5;-1,116983E-10
-7,45;-1,110927E-10
-7,4;-1,092217E-10
-7,35;-1,081119E-10
-7,3;-1,076534E-10
-7,25;-1,065237E-10
-7,2;-1,045785E-10
-7,15;-1,025221E-10
-7,1;-1,024134E-10
-7,05;-1,022923E-10
-7;-9,975387E-11
-6,95;-9,805821E-11
-6,9;-9,817445E-11
-6,85;-9,657774E-11
-6,8;-9,523935E-11
-6,75;-9,334477E-11
-6,7;-9,334103E-11
-6,65;-9,277992E-11
-6,6;-9,097187E-11
-6,55;-8,926029E-11
-6,5;-8,929984E-11
-6,45;-8,799853E-11
-6,4;-8,70679E-11
-6,35;-8,415005E-11
-6,3;-8,374346E-11
-6,25;-8,284864E-11
-6,2;-8,209357E-11
-6,15;-8,037829E-11
-6,1;-7,879018E-11
-6,05;-7,897918E-11
-6;-7,80771E-11
-5,95;-7,591068E-11
-5,9;-7,499244E-11
-5,85;-7,421386E-11
-5,8;-7,332899E-11
-5,75;-7,211541E-11
-5,7;-7,05755E-11
-5,65;-7,022573E-11
-5,6;-6,904309E-11
-5,55;-6,77874E-11
-5,5;-6,617588E-11
-5,45;-6,525273E-11
-5,4;-6,528237E-11
-5,35;-6,212972E-11
-5,3;-6,119173E-11
-5,25;-6,068882E-11
-5,2;-6,00931E-11
-5,15;-5,814787E-11
-5,1;-5,67785E-11
-5,05;-5,618407E-11
-5;-5,503227E-11
-4,95;-5,241474E-11
-4,9;-5,175852E-11
-4,85;-5,034842E-11
-4,8;-4,916327E-11
