Tensao [V];Corrente [A]
-10;-2,373633E-10
-9,95;-2,242793E-10
-9,9;-2,171398E-10
-9,85;-2,115398E-10
-9,8;-2,090682E-10
-9,75;-2,050975E-10
-9,7;-2,029532E-10
-9,65;-2,001367E-10
-9,6;-1,972694E-10
-9,55;-1,951649E-10
-9,5;-1,918343E-10
-9,45;-1,906602E-10
-9,4;-1,892387E-10
-9,35;-1,856449E-10
-9,3;-1,84487E-10
-9,25;-1,827309E-10
-9,2;-1,793853E-10
-9,15;-1,78577E-10
-9,1;-1,755592E-10
-9,05;-1,743231E-10
-9;-1,718626E-10
-8,95;-1,678906E-10
-8,9;-1,705068E-10
-8,85;-1,662395E-10
-8,8;-1,655017E-10
-8,75;-1,621339E-10
-8,7;-1,613577E-10
-8,65;-1,596103E-10
-8,6;-1,590653E-10
-8,55;-1,565849E-10
-8,5;-1,538969E-10
-8,45;-1,534001E-10
-8,4;-1,515487E-10
-8,35;-1,509815E-10
-8,3;-1,479611E-10
-8,25;-1,475112E-10
-8,2;-1,464682E-10
-8,15;-1,456599E-10
-8,1;-1,432277E-10
-8,05;-1,428717E-10
-8;-1,402381E-10
-7,95;-1,370349E-10
-7,9;-1,389356E-10
-7,85;-1,369768E-10
-7,8;-1,356457E-10
-7,75;-1,343999E-10
-7,7;-1,317563E-10
-7,65;-1,305836E-10
-7,6;-1,280996E-10
-7,55;-1,265337E-10
-7,5;-1,252694E-10
-7,45;-1,210428E-10
-7,4;-1,21531E-10
-7,35;-1,217991E-10
-7,3;-1,209266E-10
-7,25;-1,198923E-10
-7,2;-1,175787E-10
-7,15;-1,159411E-10
-7,1;-1,157039E-10
-7,05;-1,134707E-10
-7;-1,137648E-10
-6,95;-1,122917E-10
-6,9;-1,102785E-10
-6,85;-1,088597E-10
-6,8;-1,064065E-10
-6,75;-1,080044E-10
-6,7;-1,068847E-10
-6,65;-1,040608E-10
-6,6;-1,029386E-10
-6,55;-1,003977E-10
-6,5;-1,006412E-10
-6,45;-9,800631E-11
-6,4;-9,839437E-11
-6,35;-9,770232E-11
-6,3;-9,252275E-11
-6,25;-9,266003E-11
-6,2;-9,171458E-11
-6,15;-8,949371E-11
-6,1;-8,802051E-11
-6,05;-8,801438E-11
-6;-8,531034E-11
-5,95;-8,326131E-11
-5,9;-8,287564E-11
-5,85;-8,292639E-11
-5,8;-7,896292E-11
-5,75;-7,900369E-11
-5,7;-7,853777E-11
-5,65;-7,444956E-11
-5,6;-7,922122E-11
-5,55;-7,785562E-11
-5,5;-7,473138E-11
-5,45;-7,301103E-11
-5,4;-6,980274E-11
-5,35;-7,091253E-11
-5,3;-6,893024E-11
-5,25;-6,589489E-11
-5,2;-6,660683E-11
-5,15;-6,349491E-11
-5,1;-6,270891E-11
-5,05;-6,239491E-11
-5;-5,970948E-11
-4,95;-5,958586E-11
-4,9;-5,862191E-11
-4,85;-5,85156E-11
-4,8;-5,82499E-11
-4,75;-5,670752E-11
-4,7;-5,305432E-11
-4,65;-5,451265E-11
-4,6;-5,21596E-11
-4,55;-5,223992E-11
-4,5;-4,89006E-11
-4,45;-4,889069E-11
-4,4;-4,775619E-11
-4,35;-4,508919E-11
-4,3;-4,409557E-11
-4,25;-4,187473E-11
-4,2;-4,271758E-11
-4,15;-3,921268E-11
-4,1;-3,979353E-11
-4,05;-3,633064E-11
-4;-3,666929E-11
-3,95;-3,650243E-11
-3,9;-3,391577E-11
-3,85;-3,153552E-11
-3,8;-3,006853E-11
-3,75;-2,856698E-11
-3,7;-2,74411E-11
-3,65;-2,6838E-11
-3,6;-2,532284E-11
-3,55;-2,441447E-11
-3,5;-2,391766E-11
-3,45;-2,250632E-11
-3,4;-2,300932E-11
-3,35;-1,798182E-11
-3,3;-1,861583E-11
-3,25;-1,57202E-11
-3,2;-1,572144E-11
-3,15;-1,656428E-11
-3,1;-1,435085E-11
-3,05;-1,30322E-11
-3;-1,251562E-11
-2,95;-9,794239E-12
-2,9;-9,116993E-12
-2,85;-4,069734E-12
-2,8;-5,204255E-12
-2,75;-4,142653E-12
-2,7;-1,575768E-12
-2,65;-6,006742E-13
-2,6;5,832784E-13
-2,55;2,770744E-12
-2,5;6,091488E-12
-2,45;9,207081E-12
-2,4;9,67795E-12
-2,35;1,193585E-11
-2,3;1,333979E-11
-2,25;1,472889E-11
-2,2;1,715859E-11
-2,15;1,833017E-11
-2,1;2,104041E-11
-2,05;2,394592E-11
-2;2,460462E-11
-1,95;2,817501E-11
-1,9;2,954683E-11
-1,85;3,08976E-11
-1,8;3,247455E-11
-1,75;3,612526E-11
-1,7;3,600414E-11
-1,65;3,898876E-11
-1,6;4,062748E-11
-1,55;4,66152E-11
-1,5;4,433628E-11
-1,45;4,767559E-11
-1,4;5,017574E-11
-1,35;5,350633E-11
-1,3;5,61795E-11
-1,25;6,10574E-11
-1,2;5,996618E-11
-1,15;6,485275E-11
-1,1;6,670277E-11
-1,05;7,130632E-11
-1;7,249774E-11
-0,95;7,399682E-11
-0,9;7,875608E-11
-0,85;8,177164E-11
-0,8;8,589317E-11
-0,75;9,058449E-11
-0,7;9,869915E-11
-0,65;1,078308E-10
-0,6;1,254616E-10
-0,55;1,577002E-10
-0,5;2,130382E-10
-0,45;3,009999E-10
-0,4;4,445389E-10
-0,35;6,422409E-10
-0,3;9,237663E-10
-0,25;1,284726E-09
-0,2;1,776262E-09
-0,15;2,511805E-09
-0,1;3,010271E-09
-0,05;3,694817E-09
0;4,638887E-09
0,05;5,314539E-09
0,1;6,153361E-09
0,15;7,057367E-09
0,2;7,918129E-09
0,25;8,800384E-09
0,3;9,661565E-09
0,35;1,056293E-08
0,4;1,136409E-08
0,45;1,222093E-08
0,5;1,301687E-08
0,55;1,379629E-08
0,6;1,456468E-08
0,65;1,536111E-08
0,7;1,613062E-08
0,75;1,687145E-08
0,8;1,755081E-08
0,85;1,825647E-08
0,9;1,891057E-08
0,95;1,959949E-08
1;2,022827E-08
1,05;2,082063E-08
1,1;2,176157E-08
1,15;2,234057E-08
1,2;2,282223E-08
1,25;2,32773E-08
1,3;2,380807E-08
1,35;2,422973E-08
1,4;2,467601E-08
1,45;2,50429E-08
1,5;2,543004E-08
1,55;2,585197E-08
1,6;2,614075E-08
1,65;2,648306E-08
1,7;2,684169E-08
1,75;2,717281E-08
1,8;2,754938E-08
1,85;2,778069E-08
1,9;2,805178E-08
1,95;2,836319E-08
2;2,864068E-08
2,05;2,899103E-08
2,1;2,919245E-08
2,15;2,950727E-08
2,2;2,980359E-08
2,25;3,008813E-08
2,3;3,036236E-08
2,35;3,061917E-08
2,4;3,09106E-08
2,45;3,123608E-08
2,5;3,142041E-08
2,55;3,164805E-08
2,6;3,19159E-08
2,65;3,218561E-08
2,7;3,248748E-08
2,75;3,268022E-08
2,8;3,292046E-08
2,85;3,311016E-08
2,9;3,332806E-08
2,95;3,371191E-08
3;3,389247E-08
3,05;3,405711E-08
3,1;3,434062E-08
3,15;3,450636E-08
3,2;3,47334E-08
3,25;3,491548E-08
3,3;3,502698E-08
3,35;3,523616E-08
3,4;3,552157E-08
3,45;3,564642E-08
3,5;3,581392E-08
3,55;3,603329E-08
3,6;3,61586E-08
3,65;3,629257E-08
3,7;3,646297E-08
3,75;3,668497E-08
3,8;3,68615E-08
3,85;3,716315E-08
3,9;3,729613E-08
3,95;3,747139E-08
4;3,762386E-08
4,05;3,779299E-08
4,1;3,80013E-08
4,15;3,809423E-08
4,2;3,830507E-08
4,25;3,859905E-08
4,3;3,86696E-08
4,35;3,889598E-08
4,4;3,893478E-08
4,45;3,904292E-08
4,5;3,938896E-08
4,55;3,943892E-08
4,6;3,959654E-08
4,65;3,974319E-08
4,7;3,989412E-08
4,75;4,022161E-08
4,8;4,025022E-08
4,85;4,035747E-08
4,9;4,05629E-08
4,95;4,075329E-08
5;4,106619E-08
5,05;4,108076E-08
5,1;4,119487E-08
5,15;4,133264E-08
5,2;4,136653E-08
5,25;4,157487E-08
5,3;4,161064E-08
5,35;4,174727E-08
5,4;4,196628E-08
5,45;4,203521E-08
5,5;4,206648E-08
5,55;4,217949E-08
5,6;4,228521E-08
5,65;4,246325E-08
5,7;4,247406E-08
5,75;4,261796E-08
5,8;4,270558E-08
5,85;4,283018E-08
5,9;4,297193E-08
5,95;4,297733E-08
6;4,318803E-08
6,05;4,331347E-08
6,1;4,347625E-08
6,15;4,365894E-08
6,2;4,365451E-08
6,25;4,367789E-08
6,3;4,383887E-08
6,35;4,398489E-08
6,4;4,40483E-08
6,45;4,412577E-08
6,5;4,422697E-08
6,55;4,438522E-08
6,6;4,452282E-08
6,65;4,464326E-08
6,7;4,46976E-08
6,75;4,480022E-08
6,8;4,492792E-08
6,85;4,485609E-08
6,9;4,495907E-08
6,95;4,497574E-08
7;4,521108E-08
7,05;4,543356E-08
7,1;4,53659E-08
7,15;4,54396E-08
7,2;4,570308E-08
7,25;4,568985E-08
7,3;4,569475E-08
7,35;4,583059E-08
7,4;4,587055E-08
7,45;4,601847E-08
7,5;4,60423E-08
7,55;4,605402E-08
7,6;4,60658E-08
7,65;4,615523E-08
7,7;4,647251E-08
7,75;4,632423E-08
7,8;4,653306E-08
7,85;4,645758E-08
7,9;4,663926E-08
7,95;4,678231E-08
8;4,66581E-08
8,05;4,678821E-08
8,1;4,687559E-08
8,15;4,70255E-08
8,2;4,715767E-08
8,25;4,712722E-08
8,3;4,719275E-08
8,35;4,727013E-08
8,4;4,738517E-08
8,45;4,75267E-08
8,5;4,757374E-08
8,55;4,762888E-08
8,6;4,762462E-08
8,65;4,767834E-08
8,7;4,791605E-08
8,75;4,783444E-08
8,8;4,811121E-08
8,85;4,822436E-08
8,9;4,815235E-08
8,95;4,82228E-08
9;4,822319E-08
9,05;4,818073E-08
9,1;4,839032E-08
9,15;4,841743E-08
9,2;4,846416E-08
9,25;4,859472E-08
9,3;4,83883E-08
9,35;4,855028E-08
9,4;4,849202E-08
9,45;4,858533E-08
9,5;4,857062E-08
9,55;4,869042E-08
9,6;4,874378E-08
9,65;4,879751E-08
9,7;4,89462E-08
9,75;4,895765E-08
9,8;4,899745E-08
9,85;4,905808E-08
9,9;4,904931E-08
9,95;4,902028E-08
10;4,928097E-08
