Tensao [V];Corrente [A]
-10;-2,615152E-10
-9,95;-2,477721E-10
-9,9;-2,396377E-10
-9,85;-2,360722E-10
-9,8;-2,334927E-10
-9,75;-2,297678E-10
-9,7;-2,268389E-10
-9,65;-2,229608E-10
-9,6;-2,202627E-10
-9,55;-2,180085E-10
-9,5;-2,161312E-10
-9,45;-2,135752E-10
-9,4;-2,118229E-10
-9,35;-2,086183E-10
-9,3;-2,064146E-10
-9,25;-2,045359E-10
-9,2;-2,019197E-10
-9,15;-1,997359E-10
-9,1;-1,981367E-10
-9,05;-1,955896E-10
-9;-1,913998E-10
-8,95;-1,904433E-10
-8,9;-1,899663E-10
-8,85;-1,888255E-10
-8,8;-1,870039E-10
-8,75;-1,834779E-10
-8,7;-1,826869E-10
-8,65;-1,809443E-10
-8,6;-1,772862E-10
-8,55;-1,775209E-10
-8,5;-1,756041E-10
-8,45;-1,749788E-10
-8,4;-1,734326E-10
-8,35;-1,715764E-10
-8,3;-1,69589E-10
-8,25;-1,668591E-10
-8,2;-1,656787E-10
-8,15;-1,643267E-10
-8,1;-1,621514E-10
-8,05;-1,631141E-10
-8;-1,609514E-10
-7,95;-1,57753E-10
-7,9;-1,561401E-10
-7,85;-1,541293E-10
-7,8;-1,53058E-10
-7,75;-1,503796E-10
-7,7;-1,476249E-10
-7,65;-1,465052E-10
-7,6;-1,453558E-10
-7,55;-1,445154E-10
-7,5;-1,434673E-10
-7,45;-1,423674E-10
-7,4;-1,402022E-10
-7,35;-1,397053E-10
-7,3;-1,381184E-10
-7,25;-1,36712E-10
-7,2;-1,341354E-10
-7,15;-1,332516E-10
-7,1;-1,324371E-10
-7,05;-1,303287E-10
-7;-1,28491E-10
-6,95;-1,25211E-10
-6,9;-1,249921E-10
-6,85;-1,232409E-10
-6,8;-1,223993E-10
-6,75;-1,2169E-10
-6,7;-1,192058E-10
-6,65;-1,186522E-10
-6,6;-1,172012E-10
-6,55;-1,14659E-10
-6,5;-1,130227E-10
-6,45;-1,100788E-10
-6,4;-1,09168E-10
-6,35;-1,078678E-10
-6,3;-1,063156E-10
-6,25;-1,065084E-10
-6,2;-1,035744E-10
